# Figure 2: RI/MSbar matching and RG evolution at NNLO
# Quenched QCD: N_c=3, N_f=0
# Columns: mu_GeV, delta_z_ri_msbar, c_s_msbar, rg_ratio_to_2GeV
mu_GeV,delta_z_ri_msbar,c_s_msbar,rg_ratio_to_2GeV
7.56390977,1.07812396,2.01368237,0.83448715
7.58646617,1.07804660,2.01430555,0.83422897
7.60902256,1.07796962,2.01492648,0.83397189
7.63157895,1.07789301,2.01554519,0.83371589
7.65413534,1.07781679,2.01616168,0.83346096
7.67669173,1.07774094,2.01677597,0.83320710
7.69924812,1.07766546,2.01738807,0.83295429
7.72180451,1.07759034,2.01799801,0.83270253
7.74436090,1.07751559,2.01860579,0.83245182
7.76691729,1.07744120,2.01921142,0.83220213
7.78947368,1.07736716,2.01981493,0.83195348
7.81203008,1.07729348,2.02041632,0.83170584
7.83458647,1.07722016,2.02101562,0.83145921
7.85714286,1.07714718,2.02161283,0.83121359
7.87969925,1.07707455,2.02220796,0.83096896
7.90225564,1.07700226,2.02280104,0.83072533
7.92481203,1.07693031,2.02339207,0.83048267
7.94736842,1.07685871,2.02398106,0.83024100
7.96992481,1.07678743,2.02456804,0.83000029
7.99248120,1.07671649,2.02515301,0.82976054
8.01503759,1.07664588,2.02573599,0.82952175
8.03759398,1.07657560,2.02631699,0.82928390
8.06015038,1.07650565,2.02689601,0.82904700
8.08270677,1.07643601,2.02747308,0.82881103
8.10526316,1.07636670,2.02804821,0.82857599
8.12781955,1.07629770,2.02862141,0.82834187
8.15037594,1.07622902,2.02919269,0.82810867
8.17293233,1.07616066,2.02976206,0.82787638
8.19548872,1.07609260,2.03032953,0.82764499
8.21804511,1.07602485,2.03089512,0.82741449
8.24060150,1.07595741,2.03145884,0.82718489
8.26315789,1.07589027,2.03202070,0.82695617
8.28571429,1.07582343,2.03258071,0.82672833
8.30827068,1.07575689,2.03313888,0.82650136
8.33082707,1.07569065,2.03369523,0.82627526
8.35338346,1.07562470,2.03424976,0.82605002
8.37593985,1.07555904,2.03480249,0.82582563
8.39849624,1.07549367,2.03535343,0.82560209
8.42105263,1.07542860,2.03590258,0.82537940
8.44360902,1.07536380,2.03644996,0.82515755
8.46616541,1.07529929,2.03699559,0.82493652
8.48872180,1.07523507,2.03753946,0.82471632
8.51127820,1.07517112,2.03808159,0.82449695
8.53383459,1.07510745,2.03862200,0.82427839
8.55639098,1.07504405,2.03916068,0.82406064
8.57894737,1.07498093,2.03969766,0.82384369
8.60150376,1.07491808,2.04023294,0.82362755
8.62406015,1.07485550,2.04076653,0.82341220
8.64661654,1.07479319,2.04129845,0.82319764
8.66917293,1.07473114,2.04182869,0.82298386
8.69172932,1.07466936,2.04235728,0.82277086
8.71428571,1.07460784,2.04288422,0.82255864
8.73684211,1.07454657,2.04340952,0.82234718
8.75939850,1.07448557,2.04393319,0.82213649
8.78195489,1.07442482,2.04445524,0.82192656
8.80451128,1.07436433,2.04497567,0.82171738
8.82706767,1.07430409,2.04549451,0.82150895
8.84962406,1.07424410,2.04601176,0.82130127
8.87218045,1.07418436,2.04652742,0.82109433
8.89473684,1.07412487,2.04704151,0.82088812
8.91729323,1.07406562,2.04755403,0.82068264
8.93984962,1.07400662,2.04806500,0.82047789
8.96240602,1.07394786,2.04857442,0.82027386
8.98496241,1.07388934,2.04908231,0.82007055
9.00751880,1.07383105,2.04958866,0.81986795
9.03007519,1.07377301,2.05009349,0.81966606
9.05263158,1.07371520,2.05059681,0.81946487
9.07518797,1.07365763,2.05109863,0.81926438
9.09774436,1.07360029,2.05159895,0.81906459
9.12030075,1.07354318,2.05209778,0.81886549
9.14285714,1.07348630,2.05259514,0.81866707
9.16541353,1.07342964,2.05309102,0.81846934
9.18796992,1.07337321,2.05358544,0.81827229
9.21052632,1.07331701,2.05407841,0.81807590
9.23308271,1.07326103,2.05456993,0.81788019
9.25563910,1.07320528,2.05506001,0.81768515
9.27819549,1.07314974,2.05554867,0.81749077
