# Figure 4: Scale dependence of the chiral condensate
# Input: -<psibar psi>^MSbar(2 GeV) = 0.0147 GeV^3
# Columns: mu_GeV, condensate_lo, condensate_nlo, condensate_nnlo
mu_GeV,condensate_lo_GeV3,condensate_nlo_GeV3,condensate_nnlo_GeV3
7.96992481,0.01735556,0.01765937,0.01771084
7.99248120,0.01736015,0.01766442,0.01771595
8.01503759,0.01736472,0.01766946,0.01772105
8.03759398,0.01736928,0.01767447,0.01772614
8.06015038,0.01737383,0.01767948,0.01773120
8.08270677,0.01737836,0.01768446,0.01773625
8.10526316,0.01738287,0.01768943,0.01774128
8.12781955,0.01738737,0.01769438,0.01774630
8.15037594,0.01739186,0.01769932,0.01775129
8.17293233,0.01739633,0.01770424,0.01775627
8.19548872,0.01740078,0.01770914,0.01776124
8.21804511,0.01740522,0.01771402,0.01776619
8.24060150,0.01740965,0.01771889,0.01777112
8.26315789,0.01741406,0.01772375,0.01777603
8.28571429,0.01741846,0.01772859,0.01778093
8.30827068,0.01742284,0.01773341,0.01778581
8.33082707,0.01742721,0.01773822,0.01779068
8.35338346,0.01743157,0.01774301,0.01779553
8.37593985,0.01743591,0.01774778,0.01780037
8.39849624,0.01744024,0.01775254,0.01780519
8.42105263,0.01744455,0.01775729,0.01780999
8.44360902,0.01744885,0.01776202,0.01781478
8.46616541,0.01745314,0.01776673,0.01781955
8.48872180,0.01745741,0.01777143,0.01782431
8.51127820,0.01746167,0.01777611,0.01782905
8.53383459,0.01746591,0.01778078,0.01783378
8.55639098,0.01747015,0.01778544,0.01783849
8.57894737,0.01747437,0.01779008,0.01784319
8.60150376,0.01747857,0.01779470,0.01784787
8.62406015,0.01748276,0.01779931,0.01785254
8.64661654,0.01748694,0.01780391,0.01785719
8.66917293,0.01749111,0.01780849,0.01786183
8.69172932,0.01749526,0.01781306,0.01786646
8.71428571,0.01749941,0.01781761,0.01787107
8.73684211,0.01750353,0.01782215,0.01787566
8.75939850,0.01750765,0.01782668,0.01788024
8.78195489,0.01751175,0.01783119,0.01788481
8.80451128,0.01751584,0.01783569,0.01788936
8.82706767,0.01751992,0.01784017,0.01789390
8.84962406,0.01752399,0.01784464,0.01789843
8.87218045,0.01752804,0.01784910,0.01790294
8.89473684,0.01753208,0.01785354,0.01790743
8.91729323,0.01753611,0.01785797,0.01791192
8.93984962,0.01754013,0.01786238,0.01791639
8.96240602,0.01754414,0.01786679,0.01792084
8.98496241,0.01754813,0.01787117,0.01792529
9.00751880,0.01755211,0.01787555,0.01792972
9.03007519,0.01755608,0.01787991,0.01793413
9.05263158,0.01756004,0.01788426,0.01793854
9.07518797,0.01756399,0.01788860,0.01794293
9.09774436,0.01756792,0.01789292,0.01794730
9.12030075,0.01757184,0.01789723,0.01795167
9.14285714,0.01757575,0.01790153,0.01795602
9.16541353,0.01757965,0.01790582,0.01796036
9.18796992,0.01758354,0.01791009,0.01796468
9.21052632,0.01758742,0.01791435,0.01796899
9.23308271,0.01759129,0.01791860,0.01797329
9.25563910,0.01759514,0.01792284,0.01797758
9.27819549,0.01759899,0.01792706,0.01798185
9.30075188,0.01760282,0.01793127,0.01798612
9.32330827,0.01760664,0.01793547,0.01799037
9.34586466,0.01761045,0.01793966,0.01799460
9.36842105,0.01761425,0.01794383,0.01799883
9.39097744,0.01761804,0.01794799,0.01800304
9.41353383,0.01762182,0.01795215,0.01800724
9.43609023,0.01762559,0.01795628,0.01801143
9.45864662,0.01762935,0.01796041,0.01801561
9.48120301,0.01763309,0.01796453,0.01801977
9.50375940,0.01763683,0.01796863,0.01802393
9.52631579,0.01764055,0.01797272,0.01802807
9.54887218,0.01764427,0.01797680,0.01803220
9.57142857,0.01764797,0.01798087,0.01803632
9.59398496,0.01765167,0.01798493,0.01804042
9.61654135,0.01765535,0.01798898,0.01804452
9.63909774,0.01765903,0.01799301,0.01804860
9.66165414,0.01766269,0.01799704,0.01805267
9.68421053,0.01766635,0.01800105,0.01805673
9.70676692,0.01766999,0.01800505,0.01806078
9.72932331,0.01767362,0.01800904,0.01806482
9.75187970,0.01767725,0.01801302,0.01806885
9.77443609,0.01768086,0.01801699,0.01807287
9.79699248,0.01768447,0.01802095,0.01807687
9.81954887,0.01768806,0.01802489,0.01808086
9.84210526,0.01769164,0.01802883,0.01808485
9.86466165,0.01769522,0.01803275,0.01808882
9.88721805,0.01769878,0.01803667,0.01809278
9.90977444,0.01770234,0.01804057,0.01809673
9.93233083,0.01770589,0.01804446,0.01810067
9.95488722,0.01770942,0.01804835,0.01810460
9.97744361,0.01771295,0.01805222,0.01810852
10.00000000,0.01771647,0.01805608,0.01811242
