# Figure 1: Running coupling alpha_s^MSbar(mu) at NNLO
# Quenched QCD: N_c=3, N_f=0, Lambda_QCD=0.251 GeV
# Columns: mu_GeV, alpha_s_central, alpha_s_low, alpha_s_high
mu_GeV,alpha_s_central,alpha_s_low,alpha_s_high
9.37314629,0.12665547,0.12399315,0.12921264
9.39158317,0.12659427,0.12393463,0.12914880
9.41002004,0.12653325,0.12387628,0.12908515
9.42845691,0.12647241,0.12381810,0.12902169
9.44689379,0.12641175,0.12376010,0.12895842
9.46533066,0.12635127,0.12370226,0.12889534
9.48376754,0.12629097,0.12364460,0.12883245
9.50220441,0.12623085,0.12358710,0.12876974
9.52064128,0.12617090,0.12352977,0.12870722
9.53907816,0.12611113,0.12347261,0.12864489
9.55751503,0.12605154,0.12341561,0.12858274
9.57595190,0.12599212,0.12335878,0.12852077
9.59438878,0.12593287,0.12330211,0.12845898
9.61282565,0.12587379,0.12324561,0.12839738
9.63126253,0.12581489,0.12318926,0.12833595
9.64969940,0.12575616,0.12313308,0.12827471
9.66813627,0.12569759,0.12307707,0.12821364
9.68657315,0.12563920,0.12302121,0.12815275
9.70501002,0.12558097,0.12296551,0.12809204
9.72344689,0.12552291,0.12290997,0.12803151
9.74188377,0.12546502,0.12285458,0.12797114
9.76032064,0.12540729,0.12279936,0.12791096
9.77875752,0.12534973,0.12274429,0.12785094
9.79719439,0.12529233,0.12268938,0.12779110
9.81563126,0.12523509,0.12263462,0.12773143
9.83406814,0.12517802,0.12258001,0.12767193
9.85250501,0.12512111,0.12252556,0.12761260
9.87094188,0.12506436,0.12247126,0.12755344
9.88937876,0.12500776,0.12241712,0.12749444
9.90781563,0.12495133,0.12236312,0.12743562
9.92625251,0.12489506,0.12230928,0.12737696
9.94468938,0.12483894,0.12225558,0.12731846
9.96312625,0.12478299,0.12220203,0.12726013
9.98156313,0.12472718,0.12214863,0.12720197
10.00000000,0.12467154,0.12209538,0.12714397
