k_dist,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14
15.35122225,0.33353956,0.33473911,0.64323312,0.65821782,0.66885869,0.67440651,0.71250984,0.77200479,0.89078328,0.89559826,0.91960238,0.93409403,0.93993469,0.96607677
15.68443847,0.30485423,0.30661412,0.65576146,0.66837942,0.67607396,0.68418827,0.71694613,0.77759791,0.88806119,0.89503551,0.92212436,0.93296289,0.93988501,0.96046251
16.01765469,0.27568420,0.27776939,0.66702201,0.67951900,0.68313631,0.69330634,0.72131023,0.78287967,0.88573668,0.89395436,0.92445799,0.93231350,0.93989393,0.95564323
16.35087091,0.24608859,0.24831228,0.67697254,0.68995649,0.69135079,0.70139205,0.72570780,0.78781491,0.88381361,0.89244210,0.92657574,0.93211740,0.94006190,0.95167277
16.68408713,0.21612141,0.21833492,0.68590715,0.69640568,0.70321867,0.70814690,0.73023964,0.79237911,0.88228838,0.89060060,0.92846061,0.93231810,0.94042749,0.94858600
17.01730335,0.18583332,0.18791862,0.69400798,0.70234395,0.71344186,0.71453928,0.73487965,0.79654839,0.88114861,0.88854461,0.93011579,0.93283256,0.94092667,0.94637643
17.35051957,0.15527281,0.15713688,0.70127195,0.70762359,0.71740236,0.72487582,0.73939700,0.80028675,0.88036915,0.88640306,0.93156873,0.93355283,0.94131208,0.94496872
17.68373579,0.12448685,0.12605755,0.70758581,0.71209068,0.72031810,0.73387308,0.74345656,0.80353545,0.87990629,0.88432072,0.93285066,0.93434524,0.94110932,0.94420522
18.01695201,0.09352144,0.09474436,0.71278146,0.71559829,0.72247644,0.74122491,0.74677920,0.80621129,0.87969332,0.88245607,0.93394703,0.93504390,0.94014683,0.94386764
18.35016823,0.06242194,0.06325808,0.71667271,0.71805008,0.72405286,0.74667409,0.74920434,0.80821746,0.87964313,0.88097106,0.93477640,0.93545106,0.93909748,0.94373675
18.68338445,0.03123324,0.03165747,0.71908893,0.71945699,0.72506266,0.75002493,0.75066776,0.80946368,0.87966269,0.88001102,0.93526400,0.93548249,0.93855330,0.94367531
19.01660067,0.00000000,0.00000014,0.71990900,0.71990900,0.72541699,0.75115561,0.75115561,0.80988662,0.87967859,0.87967859,0.93541761,0.93541761,0.93843289,0.94365327
19.28867058,0.02491219,0.02585113,0.71938322,0.71976701,0.72494432,0.75048661,0.75114305,0.80913178,0.87973942,0.87977771,0.93532168,0.93553397,0.93835757,0.94372750
19.56074048,0.04979545,0.05167332,0.71779624,0.71931830,0.72356133,0.74852003,0.75109155,0.80690355,0.87992244,0.88006949,0.93503791,0.93579716,0.93822188,0.94398793
19.83281039,0.07462055,0.07743736,0.71511218,0.71840066,0.72146049,0.74538268,0.75096233,0.80331581,0.88022559,0.88053561,0.93457950,0.93584802,0.93839869,0.94451358
20.10488029,0.09935768,0.10311334,0.71125330,0.71624579,0.71944224,0.74129846,0.75069712,0.79856966,0.88063709,0.88114215,0.93397081,0.93532660,0.93927022,0.94533802
20.37695020,0.12397604,0.12867035,0.70609322,0.71224154,0.71813465,0.73658491,0.75022139,0.79295771,0.88113194,0.88184011,0.93324761,0.93439232,0.94070396,0.94634740
