k_dist,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8
33.72409407,0.49553079,0.49598388,0.74251504,0.74522205,0.78571112,0.78632417,0.83790566,0.84019908
33.88117371,0.49486686,0.49530600,0.74226567,0.74514978,0.78732141,0.78788447,0.84047334,0.84281390
34.03825334,0.49422394,0.49465048,0.74188793,0.74491694,0.78930998,0.78985775,0.84284774,0.84523764
34.19533297,0.49361736,0.49403282,0.74142700,0.74456950,0.79159234,0.79214133,0.84497325,0.84741859
34.35241261,0.49306123,0.49346726,0.74092959,0.74415811,0.79406259,0.79461378,0.84679465,0.84930397
34.50949224,0.49256824,0.49296659,0.74043867,0.74373074,0.79659470,0.79713959,0.84826087,0.85084228
34.66657187,0.49214945,0.49254194,0.73999073,0.74332866,0.79904300,0.79956824,0.84933533,0.85199188
34.82365150,0.49181411,0.49220258,0.73961494,0.74298499,0.80124258,0.80173365,0.85001540,0.85274071
34.98073114,0.49156955,0.49195583,0.73933326,0.74272470,0.80301418,0.80346052,0.85035425,0.85313410
35.13781077,0.49142110,0.49180695,0.73916087,0.74256504,0.80418099,0.80458459,0.85046088,0.85328378
35.29489040,0.49137199,0.49175911,0.73910665,0.74251616,0.80460278,0.80498661,0.85045435,0.85332045
