# Zz,delta_electrostatic,delta_em_minus,delta_em_plus
3.21968169e+00,8.38604461e-03,1.48042255e-20,1.98489516e-17
3.28169053e+00,8.56700758e-03,9.47308305e-20,6.26186072e-24
3.34489362e+00,8.75274354e-03,3.11471538e-19,3.72968766e-22
3.40931396e+00,8.94343626e-03,1.85825517e-18,1.84190819e-20
3.47497499e+00,9.13928036e-03,4.46819796e-18,4.42568625e-18
3.54190061e+00,9.34048218e-03,1.52937167e-17,1.83531542e-23
3.61011517e+00,9.54726074e-03,5.80484136e-35,9.19184281e-21
3.67964349e+00,9.75984881e-03,8.85791203e-24,7.54070438e-25
3.75051088e+00,9.97849407e-03,8.72869638e-23,1.33130188e-25
3.82274312e+00,1.02034604e-02,6.23200014e-22,1.68371463e-19
3.89636651e+00,1.04350295e-02,3.89990032e-21,6.14330198e-21
3.97140784e+00,1.06735020e-02,2.89700380e-20,1.02586262e-21
4.04789441e+00,1.09191999e-02,1.69675898e-19,1.94792413e-24
4.12585406e+00,1.11724681e-02,8.60219176e-19,3.82688732e-28
4.20531515e+00,1.14336768e-02,3.91629085e-18,5.00360933e-24
4.28630662e+00,1.17032238e-02,1.14371492e-17,0.00000000e+00
4.36885792e+00,1.19815377e-02,8.35820817e-34,2.80943353e-21
4.45299910e+00,1.22690804e-02,7.69840822e-23,4.71839329e-22
4.53876079e+00,1.25663513e-02,1.19114412e-21,1.84144061e-17
4.62617418e+00,1.28738909e-02,1.93823091e-20,2.30490750e-19
4.71527110e+00,1.31922856e-02,2.47419066e-19,2.86989848e-19
4.80608396e+00,1.35221723e-02,2.14918563e-18,1.83054005e-18
4.89864582e+00,1.38642453e-02,2.19744145e-17,9.26858138e-21
4.99299035e+00,1.42192619e-02,3.39770785e-23,0.00000000e+00
5.08915189e+00,1.45880509e-02,1.51578411e-21,0.00000000e+00
5.18716544e+00,1.49715212e-02,9.32122400e-20,0.00000000e+00
5.28706666e+00,1.53706720e-02,5.08965885e-18,0.00000000e+00
5.38889191e+00,1.57866047e-02,1.02673166e-23,0.00000000e+00
5.49267824e+00,1.62205368e-02,8.59243757e-21,0.00000000e+00
5.59846343e+00,1.66738180e-02,6.15868836e-18,0.00000000e+00
5.70628596e+00,1.71479486e-02,6.50035144e-22,0.00000000e+00
5.81618508e+00,1.76446024e-02,1.84317843e-16,0.00000000e+00
5.92820079e+00,1.81656521e-02,0.00000000e+00,0.00000000e+00
6.04237384e+00,1.87132004e-02,2.58673924e-19,0.00000000e+00
6.15874578e+00,1.92896171e-02,0.00000000e+00,0.00000000e+00
6.27735897e+00,1.98975822e-02,0.00000000e+00,0.00000000e+00
6.39825656e+00,2.05401386e-02,0.00000000e+00,0.00000000e+00
6.52148256e+00,2.12207551e-02,0.00000000e+00,0.00000000e+00
6.64708180e+00,2.19434013e-02,0.00000000e+00,0.00000000e+00
6.77510000e+00,2.27126388e-02,0.00000000e+00,0.00000000e+00
6.90558375e+00,2.35337298e-02,0.00000000e+00,0.00000000e+00
7.03858052e+00,2.44127677e-02,0.00000000e+00,0.00000000e+00
7.17413871e+00,2.53568315e-02,0.00000000e+00,0.00000000e+00
7.31230766e+00,2.63741661e-02,0.00000000e+00,0.00000000e+00
7.45313765e+00,2.74743862e-02,0.00000000e+00,0.00000000e+00
7.59667993e+00,2.86686935e-02,0.00000000e+00,0.00000000e+00
7.74298674e+00,2.99700794e-02,0.00000000e+00,0.00000000e+00
7.89211131e+00,3.13934543e-02,0.00000000e+00,0.00000000e+00
8.04410792e+00,3.29555743e-02,0.00000000e+00,0.00000000e+00
8.19903187e+00,3.46745212e-02,5.51427677e-21,0.00000000e+00
8.35693956e+00,3.65682798e-02,8.02768671e-20,0.00000000e+00
8.51788844e+00,3.86516354e-02,1.40300130e-18,0.00000000e+00
8.68193708e+00,4.09302417e-02,1.31654397e-23,0.00000000e+00
8.84914519e+00,4.33906069e-02,5.82594421e-20,0.00000000e+00
9.01957361e+00,4.59857884e-02,6.72377014e-17,0.00000000e+00
9.19328436e+00,4.86199072e-02,6.81108291e-21,0.00000000e+00
9.37034066e+00,5.11394926e-02,7.01655407e-18,0.00000000e+00
9.55080694e+00,5.33405445e-02,5.11601225e-20,0.00000000e+00
9.73474888e+00,5.49906583e-02,2.72210756e-22,0.00000000e+00
9.92223342e+00,5.58515271e-02,3.80204010e-17,0.00000000e+00
1.01133288e+01,5.56840932e-02,5.14480284e-33,0.00000000e+00
1.03081045e+01,5.42268237e-02,6.50403999e-17,0.00000000e+00
1.05066315e+01,5.11386841e-02,1.67149618e-32,0.00000000e+00
1.07089819e+01,4.58687007e-02,0.00000000e+00,0.00000000e+00
1.09152295e+01,3.72621462e-02,0.00000000e+00,0.00000000e+00
1.11254493e+01,2.12555548e-02,0.00000000e+00,0.00000000e+00
1.13397177e+01,1.45821968e-15,0.00000000e+00,0.00000000e+00
1.15581129e+01,2.73054243e-17,0.00000000e+00,0.00000000e+00
1.17807141e+01,6.44274990e-17,0.00000000e+00,0.00000000e+00
1.20076025e+01,1.87536672e-15,0.00000000e+00,0.00000000e+00
1.22388607e+01,9.65163166e-17,0.00000000e+00,0.00000000e+00
1.24745727e+01,2.74314027e-17,0.00000000e+00,0.00000000e+00
1.27148243e+01,2.53164644e-15,0.00000000e+00,0.00000000e+00
1.29597030e+01,6.06981539e-17,0.00000000e+00,0.00000000e+00
1.32092980e+01,2.69301537e-16,0.00000000e+00,0.00000000e+00
1.34636999e+01,1.80005911e-16,0.00000000e+00,0.00000000e+00
1.37230015e+01,1.45406492e-16,0.00000000e+00,0.00000000e+00
1.39872970e+01,2.08940163e-14,0.00000000e+00,0.00000000e+00
1.42566826e+01,5.24683010e-16,0.00000000e+00,0.00000000e+00
1.45312565e+01,3.95026067e-16,0.00000000e+00,0.00000000e+00
1.48111185e+01,6.00846531e-15,0.00000000e+00,0.00000000e+00
