time,energy_ec,energy_explicit,dE_ec_percent,dE_explicit_percent
2.60000000e+01,4.10979258e-02,7.69166825e-02,3.73155250e-04,8.71553565e+01
2.61000000e+01,4.10979246e-02,7.52218815e-02,3.70159658e-04,8.30315295e+01
2.62000000e+01,4.10979210e-02,7.33107602e-02,3.61551096e-04,7.83813473e+01
2.63000000e+01,4.10979241e-02,7.20012653e-02,3.68902168e-04,7.51950556e+01
2.64000000e+01,4.10979257e-02,7.16701466e-02,3.72813815e-04,7.43893705e+01
2.65000000e+01,4.10979361e-02,7.18973900e-02,3.98095015e-04,7.49423041e+01
2.66000000e+01,4.10979438e-02,7.17679000e-02,4.16972889e-04,7.46272261e+01
2.67000000e+01,4.10979442e-02,7.08070127e-02,4.17940500e-04,7.22891742e+01
2.68000000e+01,4.10979482e-02,6.91253824e-02,4.27734578e-04,6.81973944e+01
2.69000000e+01,4.10979456e-02,6.74360286e-02,4.21239704e-04,6.40868217e+01
2.70000000e+01,4.10979446e-02,6.63195920e-02,4.18812883e-04,6.13702836e+01
2.71000000e+01,4.10979439e-02,6.64179673e-02,4.17234782e-04,6.16096526e+01
2.72000000e+01,4.10979390e-02,6.74959043e-02,4.05189022e-04,6.42325126e+01
2.73000000e+01,4.10979370e-02,6.87774135e-02,4.00395478e-04,6.73507087e+01
2.74000000e+01,4.10979355e-02,6.98558179e-02,3.96749382e-04,6.99747061e+01
2.75000000e+01,4.10979307e-02,7.04761135e-02,3.85067596e-04,7.14840229e+01
2.76000000e+01,4.10979284e-02,7.12430185e-02,3.79542498e-04,7.33500729e+01
2.77000000e+01,4.10979239e-02,7.21349057e-02,3.68488567e-04,7.55202324e+01
2.78000000e+01,4.10979187e-02,7.23861910e-02,3.55921783e-04,7.61316653e+01
2.79000000e+01,4.10979158e-02,7.17707955e-02,3.48727618e-04,7.46342715e+01
2.80000000e+01,4.10979206e-02,7.07851236e-02,3.60396019e-04,7.22359131e+01
2.81000000e+01,4.10979244e-02,7.02867711e-02,3.69863135e-04,7.10233108e+01
2.82000000e+01,4.10979351e-02,7.07896478e-02,3.95807834e-04,7.22469215e+01
2.83000000e+01,4.10979432e-02,7.19120883e-02,4.15609448e-04,7.49780682e+01
2.84000000e+01,4.10979532e-02,7.34717778e-02,4.39823012e-04,7.87731390e+01
2.85000000e+01,4.10979666e-02,7.55460395e-02,4.72435450e-04,8.38202778e+01
2.86000000e+01,4.10979666e-02,7.76986112e-02,4.72435449e-04,8.90579624e+01
2.87000000e+01,4.10979744e-02,7.90464218e-02,4.91475800e-04,9.23374847e+01
2.88000000e+01,4.10979760e-02,7.91376749e-02,4.95384316e-04,9.25595238e+01
2.89000000e+01,4.10979762e-02,7.86208282e-02,4.95674539e-04,9.13019210e+01
2.90000000e+01,4.10979762e-02,7.77901025e-02,4.95674541e-04,8.92805811e+01
2.91000000e+01,4.10979792e-02,7.64793334e-02,5.03020148e-04,8.60911891e+01
2.92000000e+01,4.10979816e-02,7.48829503e-02,5.08964334e-04,8.22068347e+01
2.93000000e+01,4.10979854e-02,7.29873650e-02,5.18102989e-04,7.75944551e+01
2.94000000e+01,4.10979820e-02,7.08508918e-02,5.09866430e-04,7.23959416e+01
2.95000000e+01,4.10979779e-02,6.93533698e-02,5.00037244e-04,6.87521384e+01
2.96000000e+01,4.10979750e-02,6.85920036e-02,4.92785766e-04,6.68995653e+01
2.97000000e+01,4.10979732e-02,6.88004549e-02,4.88585052e-04,6.74067737e+01
2.98000000e+01,4.10979723e-02,6.97939467e-02,4.86348840e-04,6.98241596e+01
2.99000000e+01,4.10979723e-02,7.09566406e-02,4.86348838e-04,7.26532519e+01
3.00000000e+01,4.10979644e-02,7.22102112e-02,4.67095739e-04,7.57034674e+01
