time,energy_ec,energy_explicit,dE_ec_percent,dE_explicit_percent
7.50000000e+01,1.18291336e+04,6.58518256e+03,2.68719591e-06,-4.43308109e+01
7.55000000e+01,1.18291336e+04,1.23329930e+03,2.69237738e-06,-8.95740519e+01
7.60000000e+01,1.18291336e+04,7.50894768e+03,2.69442839e-06,-3.65215733e+01
7.65000000e+01,1.18291336e+04,8.16914634e+03,2.69113726e-06,-3.09404488e+01
7.70000000e+01,1.18291336e+04,1.36541074e+03,2.68622384e-06,-8.84572207e+01
7.75000000e+01,1.18291336e+04,5.75022958e+03,2.70231019e-06,-5.13892569e+01
7.80000000e+01,1.18291336e+04,9.35774040e+03,2.69791548e-06,-2.08924255e+01
7.85000000e+01,1.18291336e+04,2.36020217e+03,2.69939145e-06,-8.00475477e+01
7.90000000e+01,1.18291336e+04,3.83430067e+03,2.70606311e-06,-6.75859542e+01
7.95000000e+01,1.18291336e+04,9.86940211e+03,2.70828199e-06,-1.65669885e+01
8.00000000e+01,1.18291336e+04,3.94514008e+03,2.70813335e-06,-6.66489506e+01
8.05000000e+01,1.18291336e+04,2.21877253e+03,2.70967970e-06,-8.12431521e+01
8.10000000e+01,1.18291336e+04,9.54796101e+03,2.71576283e-06,-1.92843567e+01
8.15000000e+01,1.18291336e+04,5.90436275e+03,2.71950631e-06,-5.00862606e+01
8.20000000e+01,1.18291336e+04,1.23243027e+03,2.72070528e-06,-8.95813984e+01
8.25000000e+01,1.18291336e+04,8.21952111e+03,2.72057538e-06,-3.05145953e+01
8.30000000e+01,1.18291336e+04,7.88039663e+03,2.71442149e-06,-3.33814536e+01
8.35000000e+01,1.18291336e+04,1.01215464e+03,2.71516867e-06,-9.14435435e+01
8.40000000e+01,1.18291336e+04,6.42200313e+03,2.72684779e-06,-4.57102816e+01
8.45000000e+01,1.18291336e+04,9.48112074e+03,2.72708893e-06,-1.98494045e+01
8.50000000e+01,1.18291336e+04,1.67040660e+03,2.73525675e-06,-8.58788758e+01
8.55000000e+01,1.18291336e+04,4.47119797e+03,2.73885305e-06,-6.22018125e+01
8.60000000e+01,1.18291336e+04,1.02659138e+04,2.74665820e-06,-1.32149955e+01
8.65000000e+01,1.18291336e+04,3.23343249e+03,2.74675994e-06,-7.26655164e+01
8.70000000e+01,1.18291336e+04,2.57273643e+03,2.80297142e-06,-7.82508458e+01
8.75000000e+01,1.18291336e+04,1.01661002e+04,2.80338760e-06,-1.40587902e+01
8.80000000e+01,1.18291336e+04,5.14719061e+03,2.80570931e-06,-5.64871703e+01
8.85000000e+01,1.18291336e+04,1.21455186e+03,2.82679842e-06,-8.97325372e+01
8.90000000e+01,1.18291336e+04,9.20170700e+03,2.82796347e-06,-2.22114858e+01
8.95000000e+01,1.18291336e+04,7.23754982e+03,2.84443305e-06,-3.88158907e+01
9.00000000e+01,1.18291336e+04,6.63130987e+02,2.86052049e-06,-9.43940864e+01
9.05000000e+01,1.18291336e+04,7.45853750e+03,2.86732017e-06,-3.69477261e+01
9.10000000e+01,1.18291336e+04,8.91809144e+03,2.87370017e-06,-2.46090880e+01
9.15000000e+01,1.18291336e+04,1.13178847e+03,2.89174573e-06,-9.04321944e+01
9.20000000e+01,1.18291336e+04,5.30550375e+03,2.89463192e-06,-5.51488378e+01
9.25000000e+01,1.18291336e+04,1.01025597e+04,2.90921552e-06,-1.45959430e+01
9.30000000e+01,1.18291336e+04,2.38615560e+03,2.90924619e-06,-7.98281451e+01
9.35000000e+01,1.18291336e+04,3.26773415e+03,2.90967437e-06,-7.23755403e+01
9.40000000e+01,1.18291336e+04,1.04299611e+04,2.91059296e-06,-1.18281885e+01
9.45000000e+01,1.18291336e+04,4.26800615e+03,2.91024122e-06,-6.39195361e+01
9.50000000e+01,1.18291336e+04,1.74253180e+03,2.90990194e-06,-8.52691506e+01
9.55000000e+01,1.18291336e+04,9.66398745e+03,2.90997904e-06,-1.83035034e+01
9.60000000e+01,1.18291336e+04,6.31233187e+03,2.91038135e-06,-4.66374101e+01
9.65000000e+01,1.18291336e+04,8.98659520e+02,2.91598903e-06,-9.24029977e+01
9.70000000e+01,1.18291336e+04,8.27851616e+03,2.91104600e-06,-3.00158686e+01
9.75000000e+01,1.18291336e+04,8.28110671e+03,2.91463733e-06,-2.99939688e+01
9.80000000e+01,1.18291336e+04,8.27142981e+02,2.91479813e-06,-9.30075775e+01
9.85000000e+01,1.18291336e+04,6.44965425e+03,2.91485023e-06,-4.54765272e+01
9.90000000e+01,1.18291336e+04,9.65927895e+03,2.92710180e-06,-1.83433077e+01
9.95000000e+01,1.18291336e+04,1.73157272e+03,2.93998125e-06,-8.53617955e+01
1.00000000e+02,1.18291336e+04,4.38240198e+03,2.95793400e-06,-6.29524675e+01
