time,E_k1_simulation,E_k1_linear_theory
2.80000000e+01,2.18753150e-02,5.40921868e+00
2.81000000e+01,1.42069166e-02,5.60388250e+00
2.82000000e+01,7.62919819e-03,5.80555176e+00
2.83000000e+01,2.29384683e-03,6.01447859e+00
2.84000000e+01,1.68254281e-03,6.23092415e+00
2.85000000e+01,4.22013737e-03,6.45515903e+00
2.86000000e+01,5.27949581e-03,6.68746354e+00
2.87000000e+01,4.85863340e-03,6.92812809e+00
2.88000000e+01,2.99031024e-03,7.17745354e+00
2.89000000e+01,2.59942194e-04,7.43575157e+00
2.90000000e+01,4.79657849e-03,7.70334508e+00
2.91000000e+01,1.04919864e-02,7.98056859e+00
2.92000000e+01,1.71956691e-02,8.26776865e+00
2.93000000e+01,2.47373579e-02,8.56530431e+00
2.94000000e+01,3.29333525e-02,8.87354750e+00
2.95000000e+01,4.15893139e-02,9.19288358e+00
2.96000000e+01,5.05055013e-02,9.52371173e+00
2.97000000e+01,5.94842201e-02,9.86644554e+00
2.98000000e+01,6.83355360e-02,1.02215134e+01
2.99000000e+01,7.68799176e-02,1.05893593e+01
