time,Bz_k1_simulation,Bz_k1_linear_theory
1.67500000e+01,4.27488835e-02,3.61918821e-02
1.68000000e+01,4.31330905e-02,3.65921905e-02
1.68500000e+01,4.35283550e-02,3.69969265e-02
1.69000000e+01,4.39352264e-02,3.74061392e-02
1.69500000e+01,4.43542178e-02,3.78198782e-02
1.70000000e+01,4.47858036e-02,3.82381933e-02
1.70500000e+01,4.52304178e-02,3.86611354e-02
1.71000000e+01,4.56884527e-02,3.90887555e-02
1.71500000e+01,4.61602572e-02,3.95211054e-02
1.72000000e+01,4.66461329e-02,3.99582373e-02
1.72500000e+01,4.71463329e-02,4.04002043e-02
1.73000000e+01,4.76610617e-02,4.08470598e-02
1.73500000e+01,4.81904737e-02,4.12988577e-02
1.74000000e+01,4.87346745e-02,4.17556529e-02
1.74500000e+01,4.92937204e-02,4.22175006e-02
1.75000000e+01,4.98676185e-02,4.26844567e-02
1.75500000e+01,5.04563251e-02,4.31565776e-02
1.76000000e+01,5.10597452e-02,4.36339205e-02
1.76500000e+01,5.16777342e-02,4.41165432e-02
1.77000000e+01,5.23100999e-02,4.46045041e-02
1.77500000e+01,5.29566039e-02,4.50978621e-02
1.78000000e+01,5.36169606e-02,4.55966770e-02
1.78500000e+01,5.42908392e-02,4.61010092e-02
1.79000000e+01,5.49778660e-02,4.66109197e-02
1.79500000e+01,5.56776274e-02,4.71264701e-02
1.80000000e+01,5.63896718e-02,4.76477230e-02
1.80500000e+01,5.71135112e-02,4.81747412e-02
1.81000000e+01,5.78486235e-02,4.87075886e-02
1.81500000e+01,5.85944552e-02,4.92463297e-02
1.82000000e+01,5.93504258e-02,4.97910297e-02
1.82500000e+01,6.01159310e-02,5.03417545e-02
1.83000000e+01,6.08903451e-02,5.08985707e-02
1.83500000e+01,6.16730233e-02,5.14615456e-02
1.84000000e+01,6.24633058e-02,5.20307475e-02
1.84500000e+01,6.32605209e-02,5.26062452e-02
1.85000000e+01,6.40639897e-02,5.31881082e-02
1.85500000e+01,6.48730305e-02,5.37764071e-02
1.86000000e+01,6.56869618e-02,5.43712131e-02
1.86500000e+01,6.65051048e-02,5.49725980e-02
1.87000000e+01,6.73267871e-02,5.55806346e-02
1.87500000e+01,6.81513461e-02,5.61953966e-02
1.88000000e+01,6.89781325e-02,5.68169583e-02
1.88500000e+01,6.98065133e-02,5.74453949e-02
1.89000000e+01,7.06358759e-02,5.80807824e-02
1.89500000e+01,7.14656310e-02,5.87231978e-02
1.90000000e+01,7.22952159e-02,5.93727188e-02
1.90500000e+01,7.31240965e-02,6.00294240e-02
1.91000000e+01,7.39517705e-02,6.06933928e-02
1.91500000e+01,7.47777712e-02,6.13647056e-02
1.92000000e+01,7.56016695e-02,6.20434435e-02
1.92500000e+01,7.64230752e-02,6.27296889e-02
1.93000000e+01,7.72416389e-02,6.34235245e-02
1.93500000e+01,7.80570524e-02,6.41250345e-02
1.94000000e+01,7.88690510e-02,6.48343037e-02
1.94500000e+01,7.96774153e-02,6.55514180e-02
1.95000000e+01,8.04819728e-02,6.62764640e-02
1.95500000e+01,8.12825980e-02,6.70095296e-02
1.96000000e+01,8.20792147e-02,6.77507034e-02
1.96500000e+01,8.28717964e-02,6.85000751e-02
1.97000000e+01,8.36603659e-02,6.92577354e-02
1.97500000e+01,8.44449942e-02,7.00237760e-02
1.98000000e+01,8.52257986e-02,7.07982896e-02
1.98500000e+01,8.60029419e-02,7.15813698e-02
1.99000000e+01,8.67766319e-02,7.23731115e-02
1.99500000e+01,8.75471202e-02,7.31736104e-02
2.00000000e+01,8.83147012e-02,7.39829634e-02
2.00500000e+01,8.90797107e-02,7.48012684e-02
2.01000000e+01,8.98425234e-02,7.56286245e-02
2.01500000e+01,9.06035517e-02,7.64651317e-02
2.02000000e+01,9.13632425e-02,7.73108913e-02
2.02500000e+01,9.21220725e-02,7.81660056e-02
2.03000000e+01,9.28805461e-02,7.90305781e-02
2.03500000e+01,9.36391935e-02,7.99047134e-02
2.04000000e+01,9.43985690e-02,8.07885172e-02
2.04500000e+01,9.51592479e-02,8.16820966e-02
2.05000000e+01,9.59218224e-02,8.25855596e-02
2.05500000e+01,9.66868971e-02,8.34990156e-02
2.06000000e+01,9.74550849e-02,8.44225750e-02
2.06500000e+01,9.82270033e-02,8.53563497e-02
2.07000000e+01,9.90032713e-02,8.63004526e-02
2.07500000e+01,9.97845048e-02,8.72549979e-02
2.08000000e+01,1.00571314e-01,8.82201012e-02
2.08500000e+01,1.01364301e-01,8.91958793e-02
2.09000000e+01,1.02164056e-01,9.01824501e-02
2.09500000e+01,1.02971151e-01,9.11799332e-02
2.10000000e+01,1.03786142e-01,9.21884491e-02
2.10500000e+01,1.04609563e-01,9.32081200e-02
2.11000000e+01,1.05441917e-01,9.42390691e-02
2.11500000e+01,1.06283677e-01,9.52814213e-02
2.12000000e+01,1.07135283e-01,9.63353027e-02
2.12500000e+01,1.07997140e-01,9.74008407e-02
2.13000000e+01,1.08869616e-01,9.84781644e-02
2.13500000e+01,1.09753035e-01,9.95674040e-02
2.14000000e+01,1.10647682e-01,1.00668691e-01
2.14500000e+01,1.11553793e-01,1.01782160e-01
2.15000000e+01,1.12471562e-01,1.02907944e-01
2.15500000e+01,1.13401130e-01,1.04046180e-01
2.16000000e+01,1.14342590e-01,1.05197006e-01
2.16500000e+01,1.15295981e-01,1.06360561e-01
2.17000000e+01,1.16261288e-01,1.07536986e-01
2.17500000e+01,1.17238445e-01,1.08726423e-01
2.18000000e+01,1.18227337e-01,1.09929015e-01
2.18500000e+01,1.19227791e-01,1.11144910e-01
2.19000000e+01,1.20239582e-01,1.12374253e-01
2.19500000e+01,1.21262432e-01,1.13617193e-01
2.20000000e+01,1.22296011e-01,1.14873881e-01
2.20500000e+01,1.23339934e-01,1.16144469e-01
2.21000000e+01,1.24393769e-01,1.17429111e-01
2.21500000e+01,1.25457032e-01,1.18727962e-01
2.22000000e+01,1.26529194e-01,1.20041179e-01
2.22500000e+01,1.27609681e-01,1.21368921e-01
2.23000000e+01,1.28697876e-01,1.22711349e-01
2.23500000e+01,1.29793119e-01,1.24068625e-01
2.24000000e+01,1.30894712e-01,1.25440914e-01
2.24500000e+01,1.32001922e-01,1.26828381e-01
2.25000000e+01,1.33113982e-01,1.28231195e-01
2.25500000e+01,1.34230095e-01,1.29649524e-01
2.26000000e+01,1.35349435e-01,1.31083542e-01
2.26500000e+01,1.36471152e-01,1.32533420e-01
2.27000000e+01,1.37594377e-01,1.33999336e-01
2.27500000e+01,1.38718225e-01,1.35481465e-01
2.28000000e+01,1.39841796e-01,1.36979988e-01
2.28500000e+01,1.40964184e-01,1.38495086e-01
2.29000000e+01,1.42084471e-01,1.40026941e-01
2.29500000e+01,1.43201742e-01,1.41575740e-01
2.30000000e+01,1.44315079e-01,1.43141670e-01
2.30500000e+01,1.45423576e-01,1.44724921e-01
2.31000000e+01,1.46526335e-01,1.46325683e-01
2.31500000e+01,1.47622472e-01,1.47944151e-01
2.32000000e+01,1.48711118e-01,1.49580520e-01
2.32500000e+01,1.49791425e-01,1.51234988e-01
2.33000000e+01,1.50862564e-01,1.52907757e-01
2.33500000e+01,1.51923738e-01,1.54599027e-01
2.34000000e+01,1.52974182e-01,1.56309004e-01
2.34500000e+01,1.54013163e-01,1.58037894e-01
2.35000000e+01,1.55039987e-01,1.59785908e-01
2.35500000e+01,1.56053994e-01,1.61553255e-01
2.36000000e+01,1.57054567e-01,1.63340151e-01
2.36500000e+01,1.58041131e-01,1.65146811e-01
2.37000000e+01,1.59013160e-01,1.66973454e-01
2.37500000e+01,1.59970173e-01,1.68820301e-01
2.38000000e+01,1.60911739e-01,1.70687576e-01
2.38500000e+01,1.61837476e-01,1.72575503e-01
2.39000000e+01,1.62747057e-01,1.74484313e-01
2.39500000e+01,1.63640205e-01,1.76414236e-01
2.40000000e+01,1.64516695e-01,1.78365505e-01
2.40500000e+01,1.65376354e-01,1.80338356e-01
2.41000000e+01,1.66219062e-01,1.82333029e-01
2.41500000e+01,1.67044754e-01,1.84349764e-01
2.42000000e+01,1.67853415e-01,1.86388805e-01
2.42500000e+01,1.68645086e-01,1.88450400e-01
2.43000000e+01,1.69419851e-01,1.90534798e-01
2.43500000e+01,1.70177842e-01,1.92642250e-01
2.44000000e+01,1.70919238e-01,1.94773012e-01
2.44500000e+01,1.71644267e-01,1.96927343e-01
2.45000000e+01,1.72353201e-01,1.99105501e-01
2.45500000e+01,1.73046353e-01,2.01307752e-01
2.46000000e+01,1.73724070e-01,2.03534361e-01
2.46500000e+01,1.74386740e-01,2.05785598e-01
2.47000000e+01,1.75034779e-01,2.08061736e-01
2.47500000e+01,1.75668639e-01,2.10363049e-01
2.48000000e+01,1.76288799e-01,2.12689816e-01
2.48500000e+01,1.76895763e-01,2.15042319e-01
2.49000000e+01,1.77490047e-01,2.17420843e-01
2.49500000e+01,1.78072183e-01,2.19825674e-01
2.50000000e+01,1.78642721e-01,2.22257105e-01
2.50500000e+01,1.79202220e-01,2.24715429e-01
2.51000000e+01,1.79751244e-01,2.27200944e-01
2.51500000e+01,1.80290359e-01,2.29713951e-01
2.52000000e+01,1.80820132e-01,2.32254753e-01
2.52500000e+01,1.81341130e-01,2.34823658e-01
2.53000000e+01,1.81853906e-01,2.37420978e-01
2.53500000e+01,1.82359008e-01,2.40047025e-01
2.54000000e+01,1.82856967e-01,2.42702119e-01
2.54500000e+01,1.83348296e-01,2.45386579e-01
2.55000000e+01,1.83833490e-01,2.48100732e-01
2.55500000e+01,1.84313023e-01,2.50844906e-01
2.56000000e+01,1.84787340e-01,2.53619431e-01
2.56500000e+01,1.85256855e-01,2.56424646e-01
