t_over_tau_th,nr_frac_eps_0.0,nr_frac_eps_0.05,nr_frac_eps_0.1,nr_frac_eps_0.2,nr_frac_eps_0.3,nr_frac_eps_0.5
5.37537538e+01,1.94511307e-03,1.22444400e-03,9.49554747e-04,5.97355331e-04,3.59315205e-04,3.92961412e-05
5.40540541e+01,1.95598065e-03,1.23128322e-03,9.54858461e-04,6.00692024e-04,3.61322380e-04,3.95156762e-05
5.43543544e+01,1.96684824e-03,1.23812243e-03,9.60162163e-04,6.04028711e-04,3.63329554e-04,3.97352113e-05
5.46546547e+01,1.97771585e-03,1.24496162e-03,9.65465853e-04,6.07365394e-04,3.65336726e-04,3.99547465e-05
5.49549550e+01,1.98858347e-03,1.25180080e-03,9.70769532e-04,6.10702070e-04,3.67343896e-04,4.01742817e-05
5.52552553e+01,1.99945109e-03,1.25863996e-03,9.76073199e-04,6.14038742e-04,3.69351064e-04,4.03938169e-05
5.55555556e+01,2.01031873e-03,1.26547911e-03,9.81376854e-04,6.17375407e-04,3.71358230e-04,4.06133521e-05
5.58558559e+01,2.02118638e-03,1.27231825e-03,9.86680497e-04,6.20712068e-04,3.73365394e-04,4.08328875e-05
5.61561562e+01,2.03205404e-03,1.27915737e-03,9.91984128e-04,6.24048723e-04,3.75372556e-04,4.10524228e-05
5.64564565e+01,2.04292172e-03,1.28599648e-03,9.97287748e-04,6.27385373e-04,3.77379717e-04,4.12719582e-05
5.67567568e+01,2.05378940e-03,1.29283557e-03,1.00259136e-03,6.30722017e-04,3.79386875e-04,4.14914936e-05
5.70570571e+01,2.06465710e-03,1.29967465e-03,1.00789495e-03,6.34058656e-04,3.81394032e-04,4.17110291e-05
5.73573574e+01,2.07552480e-03,1.30651372e-03,1.01319854e-03,6.37395289e-04,3.83401187e-04,4.19305646e-05
5.76576577e+01,2.08639252e-03,1.31335277e-03,1.01850211e-03,6.40731917e-04,3.85408339e-04,4.21501001e-05
5.79579580e+01,2.09726025e-03,1.32019181e-03,1.02380567e-03,6.44068539e-04,3.87415490e-04,4.23696357e-05
5.82582583e+01,2.10812799e-03,1.32703083e-03,1.02910922e-03,6.47405156e-04,3.89422639e-04,4.25891713e-05
5.85585586e+01,2.11899574e-03,1.33386984e-03,1.03441275e-03,6.50741768e-04,3.91429786e-04,4.28087070e-05
5.88588589e+01,2.12986350e-03,1.34070884e-03,1.03971628e-03,6.54078374e-04,3.93436931e-04,4.30282426e-05
5.91591592e+01,2.14073128e-03,1.34754782e-03,1.04501979e-03,6.57414975e-04,3.95444074e-04,4.32477784e-05
5.94594595e+01,2.15159906e-03,1.35438679e-03,1.05032329e-03,6.60751571e-04,3.97451216e-04,4.34673142e-05
5.97597598e+01,2.16246686e-03,1.36122574e-03,1.05562678e-03,6.64088161e-04,3.99458355e-04,4.36868500e-05
6.00600601e+01,2.17333466e-03,1.36806469e-03,1.06093026e-03,6.67424745e-04,4.01465492e-04,4.39063858e-05
6.03603604e+01,2.18420248e-03,1.37490361e-03,1.06623373e-03,6.70761324e-04,4.03472628e-04,4.41259217e-05
6.06606607e+01,2.19507031e-03,1.38174253e-03,1.07153718e-03,6.74097898e-04,4.05479762e-04,4.43454577e-05
6.09609610e+01,2.20593815e-03,1.38858142e-03,1.07684062e-03,6.77434466e-04,4.07486893e-04,4.45649936e-05
6.12612613e+01,2.21680600e-03,1.39542031e-03,1.08214406e-03,6.80771029e-04,4.09494023e-04,4.47845296e-05
6.15615616e+01,2.22767387e-03,1.40225918e-03,1.08744747e-03,6.84107587e-04,4.11501151e-04,4.50040657e-05
6.18618619e+01,2.23854174e-03,1.40909804e-03,1.09275088e-03,6.87444139e-04,4.13508277e-04,4.52236018e-05
6.21621622e+01,2.24940963e-03,1.41593688e-03,1.09805428e-03,6.90780685e-04,4.15515401e-04,4.54431379e-05
6.24624625e+01,2.26027753e-03,1.42277571e-03,1.10335766e-03,6.94117227e-04,4.17522523e-04,4.56626741e-05
6.27627628e+01,2.27114543e-03,1.42961453e-03,1.10866103e-03,6.97453763e-04,4.19529644e-04,4.58822103e-05
6.30630631e+01,2.28201335e-03,1.43645333e-03,1.11396439e-03,7.00790293e-04,4.21536762e-04,4.61017466e-05
6.33633634e+01,2.29288128e-03,1.44329212e-03,1.11926774e-03,7.04126818e-04,4.23543879e-04,4.63212828e-05
6.36636637e+01,2.30374922e-03,1.45013089e-03,1.12457108e-03,7.07463337e-04,4.25550993e-04,4.65408192e-05
6.39639640e+01,2.31461718e-03,1.45696965e-03,1.12987440e-03,7.10799851e-04,4.27558106e-04,4.67603555e-05
6.42642643e+01,2.32548514e-03,1.46380840e-03,1.13517771e-03,7.14136360e-04,4.29565216e-04,4.69798920e-05
6.45645646e+01,2.33635312e-03,1.47064713e-03,1.14048101e-03,7.17472863e-04,4.31572325e-04,4.71994284e-05
