t_over_tau_th, nr_over_ntot_with_avalanche, nr_over_ntot_without_avalanche
5.14257129e+01,1.12861722e-04,1.12775891e-04
5.16258129e+01,1.13301184e-04,1.13214682e-04
5.18259130e+01,1.13740647e-04,1.13653474e-04
5.20260130e+01,1.14180113e-04,1.14092266e-04
5.22261131e+01,1.14619582e-04,1.14531057e-04
5.24262131e+01,1.15059053e-04,1.14969848e-04
5.26263132e+01,1.15498526e-04,1.15408639e-04
5.28264132e+01,1.15938001e-04,1.15847430e-04
5.30265133e+01,1.16377480e-04,1.16286220e-04
5.32266133e+01,1.16816960e-04,1.16725010e-04
5.34267134e+01,1.17256443e-04,1.17163800e-04
5.36268134e+01,1.17695928e-04,1.17602590e-04
5.38269135e+01,1.18135416e-04,1.18041380e-04
5.40270135e+01,1.18574906e-04,1.18480170e-04
5.42271136e+01,1.19014399e-04,1.18918959e-04
5.44272136e+01,1.19453894e-04,1.19357748e-04
5.46273137e+01,1.19893391e-04,1.19796537e-04
5.48274137e+01,1.20332891e-04,1.20235326e-04
5.50275138e+01,1.20772393e-04,1.20674115e-04
5.52276138e+01,1.21211897e-04,1.21112903e-04
5.54277139e+01,1.21651404e-04,1.21551691e-04
5.56278139e+01,1.22090914e-04,1.21990479e-04
5.58279140e+01,1.22530426e-04,1.22429267e-04
5.60280140e+01,1.22969940e-04,1.22868055e-04
5.62281141e+01,1.23409456e-04,1.23306842e-04
5.64282141e+01,1.23848975e-04,1.23745629e-04
5.66283142e+01,1.24288497e-04,1.24184416e-04
5.68284142e+01,1.24728021e-04,1.24623203e-04
5.70285143e+01,1.25167547e-04,1.25061990e-04
5.72286143e+01,1.25607076e-04,1.25500776e-04
5.74287144e+01,1.26046607e-04,1.25939562e-04
5.76288144e+01,1.26486140e-04,1.26378349e-04
5.78289145e+01,1.26925676e-04,1.26817134e-04
5.80290145e+01,1.27365214e-04,1.27255920e-04
5.82291146e+01,1.27804755e-04,1.27694706e-04
5.84292146e+01,1.28244298e-04,1.28133491e-04
5.86293147e+01,1.28683844e-04,1.28572276e-04
5.88294147e+01,1.29123392e-04,1.29011061e-04
5.90295148e+01,1.29562942e-04,1.29449846e-04
5.92296148e+01,1.30002495e-04,1.29888630e-04
5.94297149e+01,1.30442050e-04,1.30327415e-04
5.96298149e+01,1.30881607e-04,1.30766199e-04
5.98299150e+01,1.31321167e-04,1.31204983e-04
6.00300150e+01,1.31760730e-04,1.31643766e-04
6.02301151e+01,1.32200295e-04,1.32082550e-04
6.04302151e+01,1.32639862e-04,1.32521333e-04
6.06303152e+01,1.33079431e-04,1.32960117e-04
6.08304152e+01,1.33519003e-04,1.33398900e-04
6.10305153e+01,1.33958578e-04,1.33837682e-04
6.12306153e+01,1.34398155e-04,1.34276465e-04
6.14307154e+01,1.34837734e-04,1.34715247e-04
6.16308154e+01,1.35277316e-04,1.35154030e-04
6.18309155e+01,1.35716900e-04,1.35592812e-04
6.20310155e+01,1.36156486e-04,1.36031594e-04
6.22311156e+01,1.36596075e-04,1.36470375e-04
6.24312156e+01,1.37035666e-04,1.36909157e-04
6.26313157e+01,1.37475260e-04,1.37347938e-04
6.28314157e+01,1.37914856e-04,1.37786719e-04
6.30315158e+01,1.38354455e-04,1.38225500e-04
6.32316158e+01,1.38794056e-04,1.38664281e-04
6.34317159e+01,1.39233659e-04,1.39103061e-04
6.36318159e+01,1.39673265e-04,1.39541841e-04
6.38319160e+01,1.40112873e-04,1.39980621e-04
6.40320160e+01,1.40552483e-04,1.40419401e-04
6.42321161e+01,1.40992096e-04,1.40858181e-04
6.44322161e+01,1.41431712e-04,1.41296961e-04
6.46323162e+01,1.41871330e-04,1.41735740e-04
6.48324162e+01,1.42310950e-04,1.42174519e-04
6.50325163e+01,1.42750572e-04,1.42613298e-04
6.52326163e+01,1.43190197e-04,1.43052077e-04
6.54327164e+01,1.43629825e-04,1.43490855e-04
6.56328164e+01,1.44069455e-04,1.43929634e-04
6.58329165e+01,1.44509087e-04,1.44368412e-04
6.60330165e+01,1.44948722e-04,1.44807190e-04
6.62331166e+01,1.45388359e-04,1.45245968e-04
6.64332166e+01,1.45827998e-04,1.45684745e-04
6.66333167e+01,1.46267640e-04,1.46123523e-04
6.68334167e+01,1.46707284e-04,1.46562300e-04
6.70335168e+01,1.47146931e-04,1.47001077e-04
6.72336168e+01,1.47586580e-04,1.47439854e-04
6.74337169e+01,1.48026232e-04,1.47878630e-04
6.76338169e+01,1.48465885e-04,1.48317407e-04
6.78339170e+01,1.48905542e-04,1.48756183e-04
6.80340170e+01,1.49345201e-04,1.49194959e-04
6.82341171e+01,1.49784862e-04,1.49633735e-04
6.84342171e+01,1.50224525e-04,1.50072511e-04
6.86343172e+01,1.50664191e-04,1.50511286e-04
6.88344172e+01,1.51103860e-04,1.50950062e-04
6.90345173e+01,1.51543530e-04,1.51388837e-04
6.92346173e+01,1.51983204e-04,1.51827612e-04
6.94347174e+01,1.52422879e-04,1.52266386e-04
6.96348174e+01,1.52862557e-04,1.52705161e-04
6.98349175e+01,1.53302238e-04,1.53143935e-04
7.00350175e+01,1.53741920e-04,1.53582709e-04
7.02351176e+01,1.54181606e-04,1.54021483e-04
7.04352176e+01,1.54621293e-04,1.54460257e-04
7.06353177e+01,1.55060983e-04,1.54899030e-04
7.08354177e+01,1.55500676e-04,1.55337804e-04
7.10355178e+01,1.55940371e-04,1.55776577e-04
7.12356178e+01,1.56380068e-04,1.56215350e-04
7.14357179e+01,1.56819768e-04,1.56654123e-04
7.16358179e+01,1.57259470e-04,1.57092895e-04
7.18359180e+01,1.57699174e-04,1.57531668e-04
7.20360180e+01,1.58138881e-04,1.57970440e-04
7.22361181e+01,1.58578591e-04,1.58409212e-04
7.24362181e+01,1.59018302e-04,1.58847984e-04
7.26363182e+01,1.59458017e-04,1.59286756e-04
7.28364182e+01,1.59897733e-04,1.59725527e-04
7.30365183e+01,1.60337452e-04,1.60164298e-04
7.32366183e+01,1.60777174e-04,1.60603069e-04
7.34367184e+01,1.61216897e-04,1.61041840e-04
7.36368184e+01,1.61656624e-04,1.61480611e-04
7.38369185e+01,1.62096352e-04,1.61919381e-04
7.40370185e+01,1.62536083e-04,1.62358152e-04
7.42371186e+01,1.62975817e-04,1.62796922e-04
7.44372186e+01,1.63415552e-04,1.63235692e-04
7.46373187e+01,1.63855291e-04,1.63674461e-04
7.48374187e+01,1.64295031e-04,1.64113231e-04
7.50375188e+01,1.64734774e-04,1.64552000e-04
7.52376188e+01,1.65174520e-04,1.64990769e-04
7.54377189e+01,1.65614268e-04,1.65429538e-04
7.56378189e+01,1.66054018e-04,1.65868307e-04
7.58379190e+01,1.66493771e-04,1.66307075e-04
7.60380190e+01,1.66933526e-04,1.66745844e-04
7.62381191e+01,1.67373284e-04,1.67184612e-04
7.64382191e+01,1.67813043e-04,1.67623380e-04
7.66383192e+01,1.68252806e-04,1.68062148e-04
7.68384192e+01,1.68692571e-04,1.68500915e-04
7.70385193e+01,1.69132338e-04,1.68939683e-04
7.72386193e+01,1.69572107e-04,1.69378450e-04
7.74387194e+01,1.70011879e-04,1.69817217e-04
7.76388194e+01,1.70451654e-04,1.70255984e-04
7.78389195e+01,1.70891431e-04,1.70694750e-04
7.80390195e+01,1.71331210e-04,1.71133517e-04
7.82391196e+01,1.71770991e-04,1.71572283e-04
7.84392196e+01,1.72210775e-04,1.72011049e-04
7.86393197e+01,1.72650562e-04,1.72449815e-04
7.88394197e+01,1.73090351e-04,1.72888581e-04
7.90395198e+01,1.73530142e-04,1.73327346e-04
7.92396198e+01,1.73969936e-04,1.73766111e-04
7.94397199e+01,1.74409732e-04,1.74204877e-04
7.96398199e+01,1.74849530e-04,1.74643641e-04
7.98399200e+01,1.75289331e-04,1.75082406e-04
8.00400200e+01,1.75729134e-04,1.75521171e-04
8.02401201e+01,1.76168940e-04,1.75959935e-04
8.04402201e+01,1.76608748e-04,1.76398699e-04
8.06403202e+01,1.77048559e-04,1.76837463e-04
8.08404202e+01,1.77488372e-04,1.77276227e-04
8.10405203e+01,1.77928187e-04,1.77714990e-04
8.12406203e+01,1.78368005e-04,1.78153754e-04
8.14407204e+01,1.78807825e-04,1.78592517e-04
8.16408204e+01,1.79247648e-04,1.79031280e-04
8.18409205e+01,1.79687473e-04,1.79470043e-04
8.20410205e+01,1.80127300e-04,1.79908805e-04
8.22411206e+01,1.80567130e-04,1.80347568e-04
8.24412206e+01,1.81006962e-04,1.80786330e-04
8.26413207e+01,1.81446797e-04,1.81225092e-04
8.28414207e+01,1.81886634e-04,1.81663854e-04
8.30415208e+01,1.82326473e-04,1.82102615e-04
8.32416208e+01,1.82766315e-04,1.82541377e-04
8.34417209e+01,1.83206160e-04,1.82980138e-04
8.36418209e+01,1.83646006e-04,1.83418899e-04
8.38419210e+01,1.84085855e-04,1.83857660e-04
8.40420210e+01,1.84525707e-04,1.84296420e-04
8.42421211e+01,1.84965561e-04,1.84735181e-04
8.44422211e+01,1.85405417e-04,1.85173941e-04
8.46423212e+01,1.85845276e-04,1.85612701e-04
8.48424212e+01,1.86285137e-04,1.86051461e-04
8.50425213e+01,1.86725001e-04,1.86490221e-04
8.52426213e+01,1.87164867e-04,1.86928980e-04
8.54427214e+01,1.87604735e-04,1.87367740e-04
8.56428214e+01,1.88044606e-04,1.87806499e-04
8.58429215e+01,1.88484479e-04,1.88245258e-04
8.60430215e+01,1.88924355e-04,1.88684016e-04
8.62431216e+01,1.89364233e-04,1.89122775e-04
8.64432216e+01,1.89804113e-04,1.89561533e-04
8.66433217e+01,1.90243996e-04,1.90000292e-04
8.68434217e+01,1.90683881e-04,1.90439049e-04
8.70435218e+01,1.91123769e-04,1.90877807e-04
8.72436218e+01,1.91563659e-04,1.91316565e-04
8.74437219e+01,1.92003551e-04,1.91755322e-04
8.76438219e+01,1.92443446e-04,1.92194079e-04
8.78439220e+01,1.92883344e-04,1.92632836e-04
8.80440220e+01,1.93323243e-04,1.93071593e-04
8.82441221e+01,1.93763146e-04,1.93510350e-04
8.84442221e+01,1.94203050e-04,1.93949106e-04
8.86443222e+01,1.94642957e-04,1.94387862e-04
8.88444222e+01,1.95082866e-04,1.94826619e-04
8.90445223e+01,1.95522778e-04,1.95265374e-04
8.92446223e+01,1.95962692e-04,1.95704130e-04
8.94447224e+01,1.96402609e-04,1.96142885e-04
8.96448224e+01,1.96842528e-04,1.96581641e-04
8.98449225e+01,1.97282449e-04,1.97020396e-04
9.00450225e+01,1.97722373e-04,1.97459151e-04
9.02451226e+01,1.98162299e-04,1.97897905e-04
9.04452226e+01,1.98602228e-04,1.98336660e-04
9.06453227e+01,1.99042159e-04,1.98775414e-04
9.08454227e+01,1.99482093e-04,1.99214168e-04
9.10455228e+01,1.99922028e-04,1.99652922e-04
9.12456228e+01,2.00361967e-04,2.00091676e-04
9.14457229e+01,2.00801907e-04,2.00530430e-04
9.16458229e+01,2.01241851e-04,2.00969183e-04
9.18459230e+01,2.01681796e-04,2.01407936e-04
9.20460230e+01,2.02121744e-04,2.01846689e-04
9.22461231e+01,2.02561694e-04,2.02285442e-04
9.24462231e+01,2.03001647e-04,2.02724194e-04
9.26463232e+01,2.03441602e-04,2.03162947e-04
9.28464232e+01,2.03881560e-04,2.03601699e-04
9.30465233e+01,2.04321520e-04,2.04040451e-04
9.32466233e+01,2.04761482e-04,2.04479203e-04
9.34467234e+01,2.05201447e-04,2.04917954e-04
9.36468234e+01,2.05641414e-04,2.05356706e-04
9.38469235e+01,2.06081384e-04,2.05795457e-04
9.40470235e+01,2.06521356e-04,2.06234208e-04
9.42471236e+01,2.06961330e-04,2.06672959e-04
9.44472236e+01,2.07401307e-04,2.07111709e-04
9.46473237e+01,2.07841286e-04,2.07550460e-04
9.48474237e+01,2.08281268e-04,2.07989210e-04
9.50475238e+01,2.08721252e-04,2.08427960e-04
9.52476238e+01,2.09161239e-04,2.08866710e-04
9.54477239e+01,2.09601228e-04,2.09305460e-04
9.56478239e+01,2.10041219e-04,2.09744209e-04
9.58479240e+01,2.10481213e-04,2.10182959e-04
9.60480240e+01,2.10921209e-04,2.10621708e-04
9.62481241e+01,2.11361207e-04,2.11060457e-04
9.64482241e+01,2.11801208e-04,2.11499205e-04
9.66483242e+01,2.12241212e-04,2.11937954e-04
9.68484242e+01,2.12681218e-04,2.12376702e-04
9.70485243e+01,2.13121226e-04,2.12815450e-04
9.72486243e+01,2.13561236e-04,2.13254198e-04
9.74487244e+01,2.14001249e-04,2.13692946e-04
9.76488244e+01,2.14441265e-04,2.14131694e-04
9.78489245e+01,2.14881283e-04,2.14570441e-04
9.80490245e+01,2.15321303e-04,2.15009188e-04
9.82491246e+01,2.15761326e-04,2.15447935e-04
9.84492246e+01,2.16201351e-04,2.15886682e-04
9.86493247e+01,2.16641378e-04,2.16325429e-04
9.88494247e+01,2.17081408e-04,2.16764175e-04
9.90495248e+01,2.17521440e-04,2.17202921e-04
9.92496248e+01,2.17961475e-04,2.17641667e-04
9.94497249e+01,2.18401512e-04,2.18080413e-04
9.96498249e+01,2.18841552e-04,2.18519159e-04
9.98499250e+01,2.19281594e-04,2.18957904e-04
1.00050025e+02,2.19721638e-04,2.19396649e-04
1.00250125e+02,2.20161685e-04,2.19835394e-04
1.00450225e+02,2.20601734e-04,2.20274139e-04
1.00650325e+02,2.21041786e-04,2.20712884e-04
1.00850425e+02,2.21481840e-04,2.21151629e-04
1.01050525e+02,2.21921896e-04,2.21590373e-04
1.01250625e+02,2.22361955e-04,2.22029117e-04
1.01450725e+02,2.22802016e-04,2.22467861e-04
1.01650825e+02,2.23242080e-04,2.22906605e-04
1.01850925e+02,2.23682146e-04,2.23345348e-04
1.02051026e+02,2.24122214e-04,2.23784091e-04
1.02251126e+02,2.24562285e-04,2.24222835e-04
