# Figure 4: Momentum evolution (relaxation equations)
# Columns: time[s], p_parallel[m0c], p_perpendicular[m0c], gamma, energy_MeV
time,p_parallel,p_perpendicular,gamma,energy_MeV
7.59575958e-02,1.38539492e+01,9.93274775e-01,1.39254624e+01,6.60489772e+00
7.63076308e-02,1.38947506e+01,9.93255424e-01,1.39660535e+01,6.62563970e+00
7.66576658e-02,1.39355519e+01,9.93236128e-01,1.40066457e+01,6.64638230e+00
7.70077008e-02,1.39763532e+01,9.93216888e-01,1.40472392e+01,6.66712551e+00
7.73577358e-02,1.40171545e+01,9.93197703e-01,1.40878338e+01,6.68786933e+00
7.77077708e-02,1.40579557e+01,9.93178573e-01,1.41284296e+01,6.70861374e+00
7.80578058e-02,1.40987570e+01,9.93159497e-01,1.41690266e+01,6.72935875e+00
7.84078408e-02,1.41395582e+01,9.93140475e-01,1.42096247e+01,6.75010435e+00
7.87578758e-02,1.41803594e+01,9.93121506e-01,1.42502240e+01,6.77085054e+00
7.91079108e-02,1.42211606e+01,9.93102591e-01,1.42908244e+01,6.79159730e+00
7.94579458e-02,1.42619618e+01,9.93083729e-01,1.43314259e+01,6.81234464e+00
7.98079808e-02,1.43027629e+01,9.93064920e-01,1.43720285e+01,6.83309254e+00
8.01580158e-02,1.43435640e+01,9.93046163e-01,1.44126323e+01,6.85384101e+00
8.05080508e-02,1.43843651e+01,9.93027458e-01,1.44532371e+01,6.87459003e+00
8.08580858e-02,1.44251662e+01,9.93008805e-01,1.44938430e+01,6.89533961e+00
8.12081208e-02,1.44659672e+01,9.92990204e-01,1.45344500e+01,6.91608974e+00
8.15581558e-02,1.45067682e+01,9.92971653e-01,1.45750581e+01,6.93684041e+00
8.19081908e-02,1.45475692e+01,9.92953153e-01,1.46156672e+01,6.95759162e+00
8.22582258e-02,1.45883702e+01,9.92934704e-01,1.46562773e+01,6.97834337e+00
8.26082608e-02,1.46291712e+01,9.92916305e-01,1.46968885e+01,6.99909564e+00
8.29582958e-02,1.46699721e+01,9.92897956e-01,1.47375007e+01,7.01984844e+00
8.33083308e-02,1.47107730e+01,9.92879656e-01,1.47781139e+01,7.04060176e+00
8.36583658e-02,1.47515739e+01,9.92861406e-01,1.48187282e+01,7.06135559e+00
8.40084008e-02,1.47923747e+01,9.92843205e-01,1.48593434e+01,7.08210994e+00
8.43584358e-02,1.48331755e+01,9.92825052e-01,1.48999597e+01,7.10286479e+00
8.47084708e-02,1.48739763e+01,9.92806948e-01,1.49405769e+01,7.12362014e+00
8.50585059e-02,1.49147771e+01,9.92788892e-01,1.49811951e+01,7.14437599e+00
8.54085409e-02,1.49555778e+01,9.92770884e-01,1.50218142e+01,7.16513234e+00
8.57585759e-02,1.49963785e+01,9.92752924e-01,1.50624343e+01,7.18588917e+00
8.61086109e-02,1.50371792e+01,9.92735010e-01,1.51030554e+01,7.20664649e+00
8.64586459e-02,1.50779799e+01,9.92717144e-01,1.51436774e+01,7.22740429e+00
8.68086809e-02,1.51187805e+01,9.92699325e-01,1.51843003e+01,7.24816257e+00
8.71587159e-02,1.51595811e+01,9.92681551e-01,1.52249242e+01,7.26892132e+00
8.75087509e-02,1.52003817e+01,9.92663825e-01,1.52655490e+01,7.28968053e+00
8.78587859e-02,1.52411822e+01,9.92646144e-01,1.53061746e+01,7.31044022e+00
8.82088209e-02,1.52819827e+01,9.92628508e-01,1.53468012e+01,7.33120036e+00
8.85588559e-02,1.53227832e+01,9.92610918e-01,1.53874287e+01,7.35196096e+00
8.89088909e-02,1.53635837e+01,9.92593373e-01,1.54280571e+01,7.37272201e+00
8.92589259e-02,1.54043841e+01,9.92575873e-01,1.54686863e+01,7.39348351e+00
8.96089609e-02,1.54451845e+01,9.92558418e-01,1.55093164e+01,7.41424545e+00
8.99589959e-02,1.54859848e+01,9.92541006e-01,1.55499474e+01,7.43500784e+00
