xi,E_naive,E_wilson_r1,E_slac,E_mod_slac_0.5
2.09649369,0.86497420,1.73309915,2.09649369,1.04509896
2.10278947,0.86179776,1.73623272,2.10278947,1.03880318
2.10908525,0.85858715,1.73934909,2.10908525,1.03250741
2.11538103,0.85534252,1.74244823,2.11538103,1.02621163
2.12167680,0.85206398,1.74553009,2.12167680,1.01991585
2.12797258,0.84875167,1.74859466,2.12797258,1.01362007
2.13426836,0.84540571,1.75164191,2.13426836,1.00732430
2.14056413,0.84202625,1.75467179,2.14056413,1.00102852
2.14685991,0.83861341,1.75768429,2.14685991,0.99473274
2.15315569,0.83516734,1.76067937,2.15315569,0.98843697
2.15945146,0.83168816,1.76365701,2.15945146,0.98214119
2.16574724,0.82817601,1.76661716,2.16574724,0.97584541
2.17204302,0.82463104,1.76955982,2.17204302,0.96954964
2.17833879,0.82105338,1.77248493,2.17833879,0.96325386
2.18463457,0.81744318,1.77539249,2.18463457,0.95695808
2.19093035,0.81380058,1.77828245,2.19093035,0.95066231
2.19722612,0.81012572,1.78115479,2.19722612,0.94436653
2.20352190,0.80641875,1.78400948,2.20352190,0.93807075
2.20981768,0.80267982,1.78684649,2.20981768,0.93177498
2.21611346,0.79890907,1.78966579,2.21611346,0.92547920
2.22240923,0.79510666,1.79246736,2.22240923,0.91918342
2.22870501,0.79127273,1.79525117,2.22870501,0.91288764
2.23500079,0.78740743,1.79801719,2.23500079,0.90659187
2.24129656,0.78351093,1.80076540,2.24129656,0.90029609
2.24759234,0.77958337,1.80349575,2.24759234,0.89400031
2.25388812,0.77562491,1.80620824,2.25388812,0.88770454
2.26018389,0.77163571,1.80890283,2.26018389,0.88140876
2.26647967,0.76761592,1.81157950,2.26647967,0.87511298
2.27277545,0.76356571,1.81423821,2.27277545,0.86881721
2.27907122,0.75948523,1.81687894,2.27907122,0.86252143
2.28536700,0.75537465,1.81950168,2.28536700,0.85622565
2.29166278,0.75123412,1.82210638,2.29166278,0.84992988
2.29795855,0.74706382,1.82469302,2.29795855,0.84363410
2.30425433,0.74286391,1.82726159,2.30425433,0.83733832
2.31055011,0.73863456,1.82981205,2.31055011,0.83104255
2.31684588,0.73437593,1.83234438,2.31684588,0.82474677
2.32314166,0.73008819,1.83485854,2.32314166,0.81845099
2.32943744,0.72577151,1.83735453,2.32943744,0.81215522
