t_fs,Re_E,Im_E,intensity
-1006.8359375,-11.978711603579008,-12.282055533560882,294.3384198111919
-1005.859375,-11.928110914021262,-12.423511647534024,296.6234716336067
-1004.8828125,-11.876515160148571,-12.56542590034147,298.9415404062111
-1003.90625,-11.823860006456673,-12.707816562046055,301.2922672268976
-1002.9296875,-11.770081976335748,-12.850698652779625,303.6752855942158
-1001.953125,-11.715118339988312,-12.994084322166191,306.0902250914957
-1000.9765625,-11.658906927197226,-13.137983165041053,308.53671238194966
-1000.0,-11.601385908496065,-13.282402466995816,311.0143702931077
-999.0234375,-11.542493572021748,-13.427347356281324,313.5228148863984
-998.046875,-11.482168097408358,-13.572820852625728,316.06165011461405
-997.0703125,-11.42034732837811,-13.718823833549584,318.6304604767612
-996.09375,-11.356968568443653,-13.865354947022231,321.228802871531
-995.1171875,-11.29196843272728,-14.012410478909661,323.8561985151666
-994.140625,-11.22528276703737,-14.159984167896436,326.5121248350238
-993.1640625,-11.156846620368519,-14.308066974164099,329.19600704759387
-992.1875,-11.086594260190482,-14.456646832034803,331.9072099162705
-991.2109375,-11.014459241414537,-14.605708416224653,334.6450307205578
-990.234375,-10.940374544058702,-14.755232926744398,337.40869388676975
-989.2578125,-10.864272772340307,-14.90519788312466,340.1973468069189
-988.28125,-10.786086389184081,-15.055576932150649,343.0100563548487
-987.3046875,-10.70574796927634,-15.206339691437126,345.8458063930405
-986.328125,-10.623190475485707,-15.357451645019058,348.7034969075489
-985.3515625,-10.538347566265475,-15.508874083260281,351.5819447578359
-984.375,-10.451153922816172,-15.660564069082524,354.47988528023444
-983.3984375,-10.361545572480926,-15.81247442723242,357.3959741624784
-982.421875,-10.269460197934794,-15.964553770007823,360.32878983243796
-981.4453125,-10.174837443601183,-16.116746566550642,363.27683689413055
-980.46875,-10.077619232268887,-16.268993242151133,366.23855050375494
-979.4921875,-9.977750086144395,-16.421230289296396,369.2123009956598
-978.515625,-9.875177436599264,-16.573390391391037,372.1963984697719
-977.5390625,-9.769851921205886,-16.725402577205365,375.18909793187817
-976.5625,-9.661727684709161,-16.877192416819753,378.18860572783365
-975.5859375,-9.550762695621996,-17.02868225154745,381.19308729225185
-974.609375,-9.436919068000208,-17.179791449666695,384.20067575002673
-973.6328125,-9.32016336755518,-17.330436699182997,387.20948138230636
-972.65625,-9.200466893938913,-17.480532361565558,390.2176027102067
-971.6796875,-9.077805944789816,-17.629990897544346,393.2231398187578
-970.703125,-8.952162057552922,-17.778723353911246,396.22420959959936
-969.7265625,-8.82352220146744,-17.926639897677187,399.2189620607803
-968.75,-8.691878885626583,-18.073650400549987,402.2055973637018
-967.7734375,-8.557230167959773,-18.219665082017777,405.1823838483388
-966.796875,-8.4195795663714,-18.36459519802089,408.14767686163066
-965.8203125,-8.278935864619374,-18.50835373776986,411.09993713290044
-964.84375,-8.135312788158393,-18.65085609266616,414.0377471505158
-963.8671875,-7.988728531255562,-18.792020680217792,416.95982479182976
-962.890625,-7.839205145559169,-18.931769509131968,419.86503406106027
-961.9140625,-7.686767818981275,-19.07002865159149,422.7523922754465
-960.9375,-7.531444065721973,-19.206728574482824,425.6210722489538
-959.9609375,-7.373262836550171,-19.34180429611059,428.47039828589396
-958.984375,-7.212253570918154,-19.47519536218575,431.29983596652306
-958.0078125,-7.048445240349759,-19.6068456426841,434.1089763622496
-957.03125,-6.881865442537213,-19.736702938661963,436.8975148581757
-956.0546875,-6.7125395881942795,-19.864718386376758,439.6652242931304
-955.078125,-6.540490205834669,-19.990845671525985,442.41192279538836
-954.1015625,-6.3657363966185985,-20.115040095757532,445.1374379251679
-953.125,-6.18829348668636,-20.23725754187759,447.8415690936461
-952.1484375,-6.0081729168280456,-20.35745337068048,450.52404953793626
-951.171875,-5.825382379625059,-20.475581282334257,453.1845087183231
-950.1953125,-5.639926192359708,-20.591592195587864,455.82243660466014
-949.21875,-5.4518058950528365,-20.705433213190567,458.4371520632279
-948.2421875,-5.2610210680758955,-20.817046731564858,461.0277773028935
-947.265625,-5.067570349690753,-20.926369729688354,463.593219312682
-946.2890625,-4.87145260630823,-21.033333262151725,466.13215861224523
-945.3125,-4.67266819303093,-21.137862187648444,468.64304590618076
-944.3359375,-4.471220249663447,-21.239875164467133,471.1241075231482
-943.359375,-4.267115989614529,-21.339284923347773,473.57335990864163
-942.3828125,-4.060367935180052,-21.43599879888626,475.9886322748915
-941.40625,-3.8509950387607397,-21.529919488102223,478.36759595272366
-940.4296875,-3.6390236300692216,-21.620946010264845,480.70779935898946
-939.453125,-3.4244881515720147,-21.70897484277166,483.00670782434986
-938.4765625,-3.207431667450246,-21.793901190394337,485.26174699803425
-937.5,-2.987906135850901,-21.87562032537315,487.47034769653425
-936.5234375,-2.7659724288646315,-21.95402893586512,489.6299899940424
-935.546875,-2.5417000924781075,-22.02902643776056,491.7382451556568
-934.5703125,-2.315166864173852,-22.100516216333887,493.79281463740574
-933.59375,-2.0864579871403333,-22.168406757177664,495.7915650837819
-932.6171875,-1.8556653586542584,-22.232612617350803,497.7325577164956
-931.640625,-1.6228865378332076,-22.293055200220557,499.6140708747611
-930.6640625,-1.3882236409948803,-22.349663325081735,501.4346156219207
-929.6875,-1.1517821726926147,-22.40237359668002,503.1929449385588
-928.7109375,-0.9136698495340028,-22.451130571614215,504.88805653761796
-927.734375,-0.6739954576745149,-22.495886713034352,506.51918888264134
-926.7578125,-0.43286776459905596,-22.53660214227017,508.0858106206054
-925.78125,-0.19039450685149717,-22.57324422039513,509.58760470184137
-924.8046875,0.0533185108698877,-22.605786996095595,511.0244485764461
-923.828125,0.2981681720248215,-22.634210540324176,512.3963910425306
-922.8515625,0.5440546503283077,-22.658500181268067,513.703625927069
-921.875,0.7908818666779371,-22.678645668231567,514.9464634722385
-920.8984375,1.0385578044201083,-22.694640307921418,516.1253010190535
-919.921875,1.2869946734091613,-22.706480107680918,517.2405941698928
-918.9453125,1.5361089199309506,-22.71416293823785,518.2928285987093
-917.96875,1.7858211019128136,-22.717687722834604,519.2824924802673
-916.9921875,2.0360556579455595,-22.717053673667525,520.2100502545433
-916.015625,2.2867405845111852,-22.712259603609724,521.0759188026127
-915.0390625,2.537807022045489,-22.703303325510337,521.8804463712722
-914.0625,2.7891887579341894,-22.690181131799918,522.6238937212755
-913.0859375,3.0408216708366975,-22.672887347927457,523.306417125639
-912.109375,3.2926431404596572,-22.651413968534094,523.9280536243176
-911.1328125,3.544591429186113,-22.625750389998537,524.4887091103786
-910.15625,3.7966050303547902,-22.59588323906253,524.9881491098623
-909.1796875,4.048621986749624,-22.561796284353925,525.425991568279
-908.203125,4.300579197291415,-22.52347042431319,525.8017013870866
-907.2265625,4.552411728480804,-22.480883762205444,526.114587275402
-906.25,4.804052132003144,-22.434011783440106,526.3638015865336
-905.2734375,5.055429763305205,-22.382827637304175,526.5483431329798
-904.296875,5.306470108808782,-22.327302513919086,526.6670625637388
-903.3203125,5.5570941462332275,-22.267406113922608,526.7186703924577
-902.34375,5.807217762463075,-22.203107223179863,526.7017485046886
-901.3671875,6.056751239666713,-22.134374404858352,526.6147658736528
-900.390625,6.305598815536187,-22.061176803184917,526.4560983638756
-899.4140625,6.553658337134326,-21.983485038147176,526.2240520223311
-898.4375,6.800821042567499,-21.90127217423001,525.9168897027306
-897.4609375,7.0469715000212805,-21.814514757493104,525.5328614269968
-896.484375,7.291987714787581,-21.723193911115224,525.0702385325266
-895.5078125,7.53574140548795,-21.62729645870914,524.5273506432783
-894.53125,7.778098459316734,-21.526816029700452,523.9026240193938
-893.5546875,8.018919584620505,-21.421754107285842,523.1946203376283
-892.578125,8.258061167159612,-21.31212099436145,522.4020755188517
-891.6015625,8.495376310589347,-21.197936672418507,521.5239378263881
-890.625,8.730716028030752,-21.079231511817426,520.5594034909097
-889.6484375,8.96393055927849,-20.956046784124723,519.5079478899911
-888.671875,9.194870795626283,-20.828434944078097,518.3693511679547
-887.6953125,9.423389780440232,-20.696459673349818,517.1437179647006
-886.71875,9.649344228802118,-20.560195684581355,515.8314906341944
-885.7421875,9.872596002154538,-20.419728273995442,514.4334546055667
-884.765625,10.093013490449138,-20.27515261132255,512.9507347308079
-883.7890625,10.31047287033583,-20.12657278089049,511.38478271441323
-882.8125,10.524859201825754,-19.974100617099033,509.7373566802522
-881.8359375,10.736067310191396,-19.817854383518203,508.010493655292
-880.859375,10.944002405091394,-19.657957330415154,506.2064750470692
-879.8828125,11.14858042082307,-19.49453616240046,504.3277855866987
-878.90625,11.349728088507124,-19.327719471002542,502.37706763281835
-877.9296875,11.547382748384017,-19.15763620886987,500.3570734490789
-876.953125,11.741491898138607,-18.984414271642823,498.27061723141037
-875.9765625,11.932012486938447,-18.8081792223526,496.12052764859095
-875.0,12.118910001966192,-18.629053180877193,493.909602051707
-874.0234375,12.30215741490545,-18.44715391662898,491.640564684913
-873.046875,12.481734040309643,-18.262594190650248,489.3160312253967
-872.0703125,12.65762433605747,-18.075481365479924,486.9384804265663
-871.09375,12.82981668493824,-17.885917260197402,484.510232407747
-870.1171875,12.99830222433202,-17.693998217516246,482.03343363654284
-869.140625,13.163073792250566,-17.49981537039098,479.510049658006
-868.1640625,13.324125021242075,-17.30345510189676,476.9418660450461
-867.1875,13.481449580282886,-17.104999661089607,474.33049619158515
-866.2109375,13.635040573513471,-16.904527866178814,471.6773938197747
-865.234375,13.78489012611929,-16.702115837294492,468.9838692315846
-864.2578125,13.930989173972929,-16.497837736882307,466.2511093578489
-863.28125,14.073327430860942,-16.2917665044186,463.48020081071877
-862.3046875,14.211893486987375,-16.083974546260283,460.6721536902229
-861.328125,14.346675014483711,-15.874534328120124,457.82792410587547
-860.3515625,14.477659078939043,-15.66351884648074,454.9484350600434
-859.375,14.604832541192009,-15.451001993709255,452.0345961658685
-858.3984375,14.728182501500044,-15.237058833235405,449.08732168496925
-857.421875,14.847696737895799,-15.021765774185056,446.1075453949991
-856.4453125,14.963364125545207,-14.805200628791315,443.09623161241615
-855.46875,15.075175046672168,-14.58744256651047,440.05438331904884
-854.4921875,15.18312178407804,-14.368572004634704,436.98304856251735
-853.515625,15.287198867977658,-14.148670461173598,433.8833250479837
-852.5390625,15.387403356836407,-13.927820364820857,430.75636218069883
-851.5625,15.483735066325943,-13.706104813731478,427.60336076916485
-850.5859375,15.57619677182345,-13.483607300206279,424.4255717007392
-849.609375,15.664794387285703,-13.260411431179037,421.2242945200814
-848.6328125,15.749537102555266,-13.036600653117835,418.00087553363727
-847.65625,15.830437472352376,-12.812257962636343,414.75670466719663
-846.6796875,15.907511475476442,-12.587465586859516,411.4932112427873
-845.703125,15.98077856334411,-12.362304642920119,408.21185957500296
-844.7265625,16.050261690345312,-12.136854795004254,404.9141446435842
-843.75,16.11598730098288,-11.911193907163874,401.6015869794992
-842.7734375,16.17798526244675,-11.685397671537615,398.2757258939209
-841.796875,16.23628875265417,-11.459539203184828,394.93811120889427
-840.8203125,16.29093410999047,-11.233688619158498,391.5902941682621
-839.84375,16.341960627851773,-11.007912625764405,388.23381753872087
-838.8671875,16.389410268466097,-10.782274120023594,384.8702041474325
-837.890625,16.433327289213665,-10.556831799503058,381.5009434374135
-836.9140625,16.47375779545059,-10.33163978882885,378.1274766292806
-835.9375,16.510749231024068,-10.106747313088993,374.7511814203935
-834.9609375,16.544349800716095,-9.882198448964878,371.37335651317863
-833.984375,16.57460781737864,-9.658031964646666,367.9952057300459
-833.0078125,16.601570987470414,-9.434281247787903,364.61782191438186
