# Figure 4: ESM Fiber Dispersion Curves
# Melchert & Demircan, Computer Physics Communications 273 (2022) 108257
# Pade [8/8] approximant for refractive index of ESM PCF
# Columns: w (angular frequency, rad/fs), beta1 (group delay, fs/um), beta2 (GVD, fs^2/um)
w_rad_fs,beta1_fs_um,beta2_fs2_um
2.87074148e+00,2.87308831e+00,-1.39832325e+00
2.87775551e+00,2.86326749e+00,-1.40201301e+00
2.88476954e+00,2.85342079e+00,-1.40570479e+00
2.89178357e+00,2.84354818e+00,-1.40939862e+00
2.89879760e+00,2.83364966e+00,-1.41309449e+00
2.90581162e+00,2.82372521e+00,-1.41679241e+00
2.91282565e+00,2.81377481e+00,-1.42049240e+00
2.91983968e+00,2.80379846e+00,-1.42419445e+00
2.92685371e+00,2.79379613e+00,-1.42789856e+00
2.93386774e+00,2.78376781e+00,-1.43160475e+00
2.94088176e+00,2.77371349e+00,-1.43531303e+00
2.94789579e+00,2.76363315e+00,-1.43902339e+00
2.95490982e+00,2.75352679e+00,-1.44273585e+00
2.96192385e+00,2.74339437e+00,-1.44645040e+00
2.96893788e+00,2.73323589e+00,-1.45016706e+00
2.97595190e+00,2.72305134e+00,-1.45388585e+00
2.98296593e+00,2.71284070e+00,-1.45760673e+00
2.98997996e+00,2.70260395e+00,-1.46132975e+00
2.99699399e+00,2.69234108e+00,-1.46505490e+00
3.00400802e+00,2.68205207e+00,-1.46878219e+00
3.01102204e+00,2.67173691e+00,-1.47251162e+00
3.01803607e+00,2.66139559e+00,-1.47624319e+00
3.02505010e+00,2.65102808e+00,-1.47997693e+00
3.03206413e+00,2.64063438e+00,-1.48371282e+00
3.03907816e+00,2.63021447e+00,-1.48745088e+00
3.04609218e+00,2.61976833e+00,-1.49119112e+00
3.05310621e+00,2.60929595e+00,-1.49493352e+00
3.06012024e+00,2.59879732e+00,-1.49867813e+00
3.06713427e+00,2.58827241e+00,-1.50242492e+00
3.07414830e+00,2.57772121e+00,-1.50617391e+00
3.08116232e+00,2.56714371e+00,-1.50992510e+00
3.08817635e+00,2.55653989e+00,-1.51367851e+00
3.09519038e+00,2.54590974e+00,-1.51743412e+00
3.10220441e+00,2.53525324e+00,-1.52119196e+00
3.10921844e+00,2.52457037e+00,-1.52495204e+00
3.11623246e+00,2.51386112e+00,-1.52871434e+00
3.12324649e+00,2.50312547e+00,-1.53247888e+00
3.13026052e+00,2.49236341e+00,-1.53624568e+00
3.13727455e+00,2.48157493e+00,-1.54001473e+00
3.14428858e+00,2.47075999e+00,-1.54378603e+00
3.15130261e+00,2.45991860e+00,-1.54755960e+00
3.15831663e+00,2.44905074e+00,-1.55133545e+00
3.16533066e+00,2.43815638e+00,-1.55511357e+00
3.17234469e+00,2.42723551e+00,-1.55889398e+00
3.17935872e+00,2.41628812e+00,-1.56267668e+00
3.18637275e+00,2.40531419e+00,-1.56646167e+00
3.19338677e+00,2.39431370e+00,-1.57024896e+00
3.20040080e+00,2.38328664e+00,-1.57403857e+00
3.20741483e+00,2.37223300e+00,-1.57783049e+00
3.21442886e+00,2.36115274e+00,-1.58162474e+00
3.22144289e+00,2.35004587e+00,-1.58542131e+00
3.22845691e+00,2.33891236e+00,-1.58922022e+00
3.23547094e+00,2.32775219e+00,-1.59302146e+00
3.24248497e+00,2.31656536e+00,-1.59682505e+00
3.24949900e+00,2.30535184e+00,-1.60063100e+00
3.25651303e+00,2.29411161e+00,-1.60443931e+00
3.26352705e+00,2.28284467e+00,-1.60824998e+00
3.27054108e+00,2.27155098e+00,-1.61206302e+00
3.27755511e+00,2.26023055e+00,-1.61587845e+00
3.28456914e+00,2.24888335e+00,-1.61969625e+00
3.29158317e+00,2.23750935e+00,-1.62351645e+00
3.29859719e+00,2.22610856e+00,-1.62733905e+00
3.30561122e+00,2.21468095e+00,-1.63116404e+00
3.31262525e+00,2.20322649e+00,-1.63499145e+00
3.31963928e+00,2.19174519e+00,-1.63882128e+00
3.32665331e+00,2.18023701e+00,-1.64265352e+00
3.33366733e+00,2.16870195e+00,-1.64648820e+00
3.34068136e+00,2.15713998e+00,-1.65032531e+00
3.34769539e+00,2.14555108e+00,-1.65416487e+00
3.35470942e+00,2.13393525e+00,-1.65800687e+00
3.36172345e+00,2.12229247e+00,-1.66185132e+00
3.36873747e+00,2.11062270e+00,-1.66569824e+00
3.37575150e+00,2.09892595e+00,-1.66954763e+00
3.38276553e+00,2.08720219e+00,-1.67339948e+00
3.38977956e+00,2.07545140e+00,-1.67725382e+00
3.39679359e+00,2.06367357e+00,-1.68111064e+00
3.40380762e+00,2.05186868e+00,-1.68496996e+00
3.41082164e+00,2.04003671e+00,-1.68883178e+00
