w_rad_fs,spectrum_dB
2.1064378742319563,-299.99992161698503
2.112721059539136,-299.9990419812631
2.1190042448463156,-299.99830256655014
2.125287430153495,-299.9978892296563
2.1315706154606744,-299.9981656824217
2.137853800767854,-299.99874723536647
2.1441369860750337,-299.9976074559561
2.1504201713822133,-299.9998154028422
2.156703356689393,-299.99965409767435
2.1629865419965726,-299.9993068938175
2.1692697273037522,-299.99839393546534
2.175552912610932,-299.9995391637872
2.1818360979181115,-299.9983624052394
2.188119283225291,-299.9997464197847
2.1944024685324703,-299.9982328612234
2.20068565383965,-299.99862246287483
2.2069688391468296,-299.9999129767837
2.2132520244540093,-299.99783037031597
2.219535209761189,-299.9985405384114
2.2258183950683685,-299.9974922049994
2.232101580375548,-299.99772978343566
2.238384765682728,-299.9989448550493
2.2446679509899075,-299.9984251429426
2.2509511362970867,-299.9991661814525
2.2572343216042663,-299.99962567987825
2.263517506911446,-299.9941998369586
2.2698006922186256,-299.9996889135745
2.276083877525805,-299.9995518337365
2.282367062832985,-299.9997050738986
2.2886502481401645,-299.9993396233787
2.294933433447344,-299.9991906204713
2.3012166187545238,-299.99973685240985
2.307499804061703,-299.999339012657
2.3137829893688826,-299.9972561056377
2.3200661746760622,-299.9980044291002
2.326349359983242,-299.99522188633216
2.3326325452904215,-299.9998170938104
2.338915730597601,-299.9992211729785
2.345198915904781,-299.99767203747285
2.3514821012119604,-299.99842496493443
2.35776528651914,-299.995614894944
2.3640484718263197,-299.99651694440047
2.370331657133499,-299.99869557331584
2.3766148424406786,-299.9989712947703
2.382898027747858,-299.99983203590057
2.389181213055038,-299.99605331336573
2.3954643983622175,-299.9988947165607
2.401747583669397,-299.99406871623063
2.4080307689765768,-299.99699124566376
2.414313954283756,-299.98658194549256
2.4205971395909356,-299.99928878843923
2.4268803248981152,-299.9979642138274
2.433163510205295,-299.98868881981855
2.439446695512474,-299.9983313312529
2.4457298808196537,-299.9998606181482
2.4520130661268333,-299.9980968600605
2.458296251434013,-299.9990358327376
2.4645794367411926,-299.99402886572824
2.4708626220483723,-299.9986664838583
2.477145807355552,-299.9995397220165
2.4834289926627315,-299.9999878505543
2.489712177969911,-299.9989889651146
2.4959953632770904,-299.99772130528146
2.50227854858427,-299.99996539738413
2.5085617338914497,-299.99886503580376
2.5148449191986293,-299.99690681372425
2.521128104505809,-299.9999791759456
2.5274112898129886,-299.99838518178024
2.533694475120168,-299.99708784202505
2.539977660427348,-299.99810945107265
2.5462608457345275,-299.99976196283194
2.552544031041707,-299.99929867853865
2.5588272163488863,-299.99933307283146
2.565110401656066,-299.9996825379679
2.5713935869632456,-299.9984859929414
2.5776767722704252,-299.9994966433039
2.583959957577605,-299.9999248927812
2.5902431428847845,-299.9998650168151
2.596526328191964,-299.9997222379642
2.602809513499144,-299.99865854913315
2.6090926988063234,-299.99978793070886
