time_ms,I_total_with_RE_MA,I_r_MA,I_th_with_RE_MA,I_total_baseline_MA
3.43887776e+00,1.33882523e+01,8.09302393e-02,1.33073221e+01,1.33206428e+01
3.46292585e+00,1.33813392e+01,8.19092219e-02,1.32994300e+01,1.33127427e+01
3.48697395e+00,1.33744426e+01,8.29000468e-02,1.32915425e+01,1.33048474e+01
3.51102204e+00,1.33675626e+01,8.39028577e-02,1.32836597e+01,1.32969567e+01
3.53507014e+00,1.33606994e+01,8.49177998e-02,1.32757816e+01,1.32890707e+01
3.55911824e+00,1.33538532e+01,8.59450192e-02,1.32679082e+01,1.32811894e+01
3.58316633e+00,1.33470241e+01,8.69846645e-02,1.32600395e+01,1.32733128e+01
3.60721443e+00,1.33402123e+01,8.80368859e-02,1.32521754e+01,1.32654408e+01
3.63126253e+00,1.33334178e+01,8.91018356e-02,1.32443159e+01,1.32575735e+01
3.65531062e+00,1.33266408e+01,9.01796676e-02,1.32364612e+01,1.32497109e+01
3.67935872e+00,1.33198816e+01,9.12705376e-02,1.32286111e+01,1.32418529e+01
3.70340681e+00,1.33131402e+01,9.23746034e-02,1.32207656e+01,1.32339996e+01
3.72745491e+00,1.33064168e+01,9.34920247e-02,1.32129248e+01,1.32261510e+01
3.75150301e+00,1.32997116e+01,9.46229629e-02,1.32050887e+01,1.32183070e+01
3.77555110e+00,1.32930248e+01,9.57675816e-02,1.31972572e+01,1.32104676e+01
3.79959920e+00,1.32863564e+01,9.69260463e-02,1.31894303e+01,1.32026329e+01
3.82364729e+00,1.32797066e+01,9.80985245e-02,1.31816081e+01,1.31948029e+01
3.84769539e+00,1.32730757e+01,9.92851856e-02,1.31737905e+01,1.31869775e+01
3.87174349e+00,1.32664638e+01,1.00486201e-01,1.31659776e+01,1.31791567e+01
3.89579158e+00,1.32598710e+01,1.01701745e-01,1.31581693e+01,1.31713406e+01
3.91983968e+00,1.32532976e+01,1.02931993e-01,1.31503656e+01,1.31635291e+01
3.94388778e+00,1.32467437e+01,1.04177122e-01,1.31425666e+01,1.31557223e+01
3.96793587e+00,1.32402094e+01,1.05437314e-01,1.31347721e+01,1.31479201e+01
3.99198397e+00,1.32336951e+01,1.06712749e-01,1.31269823e+01,1.31401225e+01
4.01603206e+00,1.32272008e+01,1.08003614e-01,1.31191972e+01,1.31323295e+01
4.04008016e+00,1.32207267e+01,1.09310094e-01,1.31114166e+01,1.31245411e+01
4.06412826e+00,1.32142730e+01,1.10632378e-01,1.31036406e+01,1.31167574e+01
4.08817635e+00,1.32078400e+01,1.11970657e-01,1.30958693e+01,1.31089783e+01
4.11222445e+00,1.32014277e+01,1.13325125e-01,1.30881026e+01,1.31012038e+01
4.13627255e+00,1.31950364e+01,1.14695977e-01,1.30803405e+01,1.30934339e+01
4.16032064e+00,1.31886664e+01,1.16083411e-01,1.30725829e+01,1.30856686e+01
4.18436874e+00,1.31823177e+01,1.17487630e-01,1.30648300e+01,1.30779079e+01
4.20841683e+00,1.31759905e+01,1.18908834e-01,1.30570817e+01,1.30701519e+01
4.23246493e+00,1.31696852e+01,1.20347230e-01,1.30493380e+01,1.30624004e+01
4.25651303e+00,1.31634019e+01,1.21803025e-01,1.30415989e+01,1.30546535e+01
4.28056112e+00,1.31571407e+01,1.23276431e-01,1.30338643e+01,1.30469112e+01
4.30460922e+00,1.31509020e+01,1.24767660e-01,1.30261344e+01,1.30391735e+01
4.32865731e+00,1.31446859e+01,1.26276928e-01,1.30184090e+01,1.30314404e+01
4.35270541e+00,1.31384927e+01,1.27804452e-01,1.30106882e+01,1.30237119e+01
4.37675351e+00,1.31323224e+01,1.29350455e-01,1.30029720e+01,1.30159880e+01
4.40080160e+00,1.31261755e+01,1.30915159e-01,1.29952604e+01,1.30082686e+01
4.42484970e+00,1.31200521e+01,1.32498790e-01,1.29875533e+01,1.30005539e+01
4.44889780e+00,1.31139524e+01,1.34101578e-01,1.29798508e+01,1.29928437e+01
4.47294589e+00,1.31078766e+01,1.35723754e-01,1.29721529e+01,1.29851380e+01
4.49699399e+00,1.31018251e+01,1.37365553e-01,1.29644595e+01,1.29774370e+01
4.52104208e+00,1.30957980e+01,1.39027214e-01,1.29567707e+01,1.29697405e+01
4.54509018e+00,1.30897955e+01,1.40708975e-01,1.29490865e+01,1.29620486e+01
4.56913828e+00,1.30838179e+01,1.42411080e-01,1.29414068e+01,1.29543612e+01
4.59318637e+00,1.30778655e+01,1.44133774e-01,1.29337317e+01,1.29466784e+01
4.61723447e+00,1.30719385e+01,1.45877307e-01,1.29260611e+01,1.29390001e+01
4.64128257e+00,1.30660371e+01,1.47641931e-01,1.29183951e+01,1.29313265e+01
