psi_N,eta_over_eta_axis
9.41883768e-01,2.00655017e+00
9.45891784e-01,2.06422063e+00
9.49899800e-01,2.12349750e+00
9.53907816e-01,2.18438079e+00
9.57915832e-01,2.24687049e+00
9.61923848e-01,2.31096662e+00
9.65931864e-01,2.37666917e+00
9.69939880e-01,2.44397814e+00
9.73947896e-01,2.51289352e+00
9.77955912e-01,2.58341533e+00
9.81963928e-01,2.65554355e+00
9.85971944e-01,2.72927820e+00
9.89979960e-01,2.80461926e+00
9.93987976e-01,2.88156674e+00
9.97995992e-01,2.96012064e+00
1.00200401e+00,3.00000000e+00
1.00601202e+00,3.00000000e+00
1.01002004e+00,3.00000000e+00
1.01402806e+00,3.00000000e+00
1.01803607e+00,3.00000000e+00
1.02204409e+00,3.00000000e+00
1.02605210e+00,3.00000000e+00
1.03006012e+00,3.00000000e+00
1.03406814e+00,3.00000000e+00
1.03807615e+00,3.00000000e+00
1.04208417e+00,3.00000000e+00
1.04609218e+00,3.00000000e+00
1.05010020e+00,3.00000000e+00
1.05410822e+00,3.00000000e+00
1.05811623e+00,3.00000000e+00
1.06212425e+00,3.00000000e+00
1.06613226e+00,3.00000000e+00
1.07014028e+00,3.00000000e+00
1.07414830e+00,3.00000000e+00
1.07815631e+00,3.00000000e+00
1.08216433e+00,3.00000000e+00
1.08617234e+00,3.00000000e+00
1.09018036e+00,3.00000000e+00
1.09418838e+00,3.00000000e+00
1.09819639e+00,3.00000000e+00
1.10220441e+00,3.00000000e+00
1.10621242e+00,3.00000000e+00
1.11022044e+00,3.00000000e+00
1.11422846e+00,3.00000000e+00
1.11823647e+00,3.00000000e+00
1.12224449e+00,3.00000000e+00
1.12625251e+00,3.00000000e+00
1.13026052e+00,3.00000000e+00
1.13426854e+00,3.00000000e+00
1.13827655e+00,3.00000000e+00
1.14228457e+00,3.00000000e+00
1.14629259e+00,3.00000000e+00
1.15030060e+00,3.00000000e+00
1.15430862e+00,3.00000000e+00
1.15831663e+00,3.00000000e+00
1.16232465e+00,3.00000000e+00
1.16633267e+00,3.00000000e+00
1.17034068e+00,3.00000000e+00
1.17434870e+00,3.00000000e+00
1.17835671e+00,3.00000000e+00
1.18236473e+00,3.00000000e+00
1.18637275e+00,3.00000000e+00
1.19038076e+00,3.00000000e+00
1.19438878e+00,3.00000000e+00
1.19839679e+00,3.00000000e+00
1.20240481e+00,3.00000000e+00
1.20641283e+00,3.00000000e+00
1.21042084e+00,3.00000000e+00
1.21442886e+00,3.00000000e+00
1.21843687e+00,3.00000000e+00
1.22244489e+00,3.00000000e+00
1.22645291e+00,3.00000000e+00
1.23046092e+00,3.00000000e+00
1.23446894e+00,3.00000000e+00
1.23847695e+00,3.00000000e+00
1.24248497e+00,3.00000000e+00
1.24649299e+00,3.00000000e+00
1.25050100e+00,3.00000000e+00
1.25450902e+00,3.00000000e+00
1.25851703e+00,3.00000000e+00
1.26252505e+00,3.00000000e+00
1.26653307e+00,3.00000000e+00
1.27054108e+00,3.00000000e+00
1.27454910e+00,3.00000000e+00
1.27855711e+00,3.00000000e+00
1.28256513e+00,3.00000000e+00
1.28657315e+00,3.00000000e+00
1.29058116e+00,3.00000000e+00
1.29458918e+00,3.00000000e+00
