time_ms,I_total_MA,I_re_MA,I_thermal_MA
3.70340681e+01,2.59876552e-01,1.96922351e-01,6.29542010e-02
3.71743487e+01,2.62048585e-01,2.01592566e-01,6.04560188e-02
3.73146293e+01,2.64253493e-01,2.06213075e-01,5.80404185e-02
3.74549098e+01,2.66484532e-01,2.10778823e-01,5.57057099e-02
3.75951904e+01,2.68735227e-01,2.15285056e-01,5.34501716e-02
3.77354709e+01,2.70999384e-01,2.19727328e-01,5.12720557e-02
3.78757515e+01,2.73271103e-01,2.24101511e-01,4.91695926e-02
3.80160321e+01,2.75544791e-01,2.28403795e-01,4.71409961e-02
3.81563126e+01,2.77815165e-01,2.32630698e-01,4.51844677e-02
3.82965932e+01,2.80077262e-01,2.36779061e-01,4.32982011e-02
3.84368737e+01,2.82326438e-01,2.40846052e-01,4.14803861e-02
3.85771543e+01,2.84558369e-01,2.44829156e-01,3.97292123e-02
3.87174349e+01,2.86769052e-01,2.48726178e-01,3.80428734e-02
3.88577154e+01,2.88954798e-01,2.52535229e-01,3.64195697e-02
3.89979960e+01,2.91112233e-01,2.56254721e-01,3.48575118e-02
3.91382766e+01,2.93238283e-01,2.59883360e-01,3.33549237e-02
3.92785571e+01,2.95330175e-01,2.63420130e-01,3.19100451e-02
3.94188377e+01,2.97385422e-01,2.66864288e-01,3.05211340e-02
3.95591182e+01,2.99401815e-01,2.70215346e-01,2.91864693e-02
3.96993988e+01,3.01377413e-01,2.73473061e-01,2.79043528e-02
3.98396794e+01,3.03310532e-01,2.76637421e-01,2.66731109e-02
3.99799599e+01,3.05199731e-01,2.79708634e-01,2.54910966e-02
4.01202405e+01,3.07043799e-01,2.82687108e-01,2.43566909e-02
4.02605210e+01,3.08841748e-01,2.85573444e-01,2.32683041e-02
4.04008016e+01,3.10592795e-01,2.88368417e-01,2.22243774e-02
4.05410822e+01,3.12296348e-01,2.91072964e-01,2.12233835e-02
4.06813627e+01,3.13951997e-01,2.93688169e-01,2.02638274e-02
4.08216433e+01,3.15559501e-01,2.96215254e-01,1.93442478e-02
4.09619238e+01,3.17118776e-01,2.98655559e-01,1.84632173e-02
4.11022044e+01,3.18629878e-01,3.01010535e-01,1.76193428e-02
4.12424850e+01,3.20092997e-01,3.03281730e-01,1.68112662e-02
4.13827655e+01,3.21508440e-01,3.05470776e-01,1.60376638e-02
4.15230461e+01,3.22876627e-01,3.07579380e-01,1.52972478e-02
4.16633267e+01,3.24198076e-01,3.09609310e-01,1.45887661e-02
4.18036072e+01,3.25473389e-01,3.11562389e-01,1.39110001e-02
4.19438878e+01,3.26703251e-01,3.13440483e-01,1.32627681e-02
4.20841683e+01,3.27888415e-01,3.15245492e-01,1.26429235e-02
4.22244489e+01,3.29029692e-01,3.16979341e-01,1.20503508e-02
4.23647295e+01,3.30127953e-01,3.18643977e-01,1.14839754e-02
4.25050100e+01,3.31184103e-01,3.20241354e-01,1.09427487e-02
4.26452906e+01,3.32199097e-01,3.21773432e-01,1.04256647e-02
4.27855711e+01,3.33173909e-01,3.23242170e-01,9.93173874e-03
4.29258517e+01,3.34109549e-01,3.24649517e-01,9.46003220e-03
4.30661323e+01,3.35007039e-01,3.25997410e-01,9.00962860e-03
4.32064128e+01,3.35867416e-01,3.27287772e-01,8.57964421e-03
4.33466934e+01,3.36691730e-01,3.28522498e-01,8.16923212e-03
4.34869739e+01,3.37481032e-01,3.29703466e-01,7.77756639e-03
4.36272545e+01,3.38236375e-01,3.30832517e-01,7.40385878e-03
4.37675351e+01,3.38958810e-01,3.31911467e-01,7.04734327e-03
4.39078156e+01,3.39649379e-01,3.32942092e-01,6.70728755e-03
4.40480962e+01,3.40309120e-01,3.33926138e-01,6.38298139e-03
4.41883768e+01,3.40939053e-01,3.34865307e-01,6.07374598e-03
4.43286573e+01,3.41540191e-01,3.35761267e-01,5.77892408e-03
4.44689379e+01,3.42113524e-01,3.36615637e-01,5.49788749e-03
4.46092184e+01,3.42660030e-01,3.37430001e-01,5.23002907e-03
4.47494990e+01,3.43180664e-01,3.38205896e-01,4.97476833e-03
4.48897796e+01,3.43676363e-01,3.38944817e-01,4.73154538e-03
4.50300601e+01,3.44148039e-01,3.39648215e-01,4.49982455e-03
4.51703407e+01,3.44596585e-01,3.40317495e-01,4.27909032e-03
4.53106212e+01,3.45022869e-01,3.40954020e-01,4.06884911e-03
4.54509018e+01,3.45427735e-01,3.41559108e-01,3.86862689e-03
4.55911824e+01,3.45812002e-01,3.42134033e-01,3.67796947e-03
4.57314629e+01,3.46176467e-01,3.42680025e-01,3.49644155e-03
4.58717435e+01,3.46521900e-01,3.43198274e-01,3.32362574e-03
4.60120240e+01,3.46849046e-01,3.43689923e-01,3.15912290e-03
4.61523046e+01,3.47158630e-01,3.44156081e-01,3.00254955e-03
4.62925852e+01,3.47451346e-01,3.44597806e-01,2.85354039e-03
4.64328657e+01,3.47727871e-01,3.45016127e-01,2.71174380e-03
4.65731463e+01,3.47988851e-01,3.45412026e-01,2.57682516e-03
4.67134269e+01,3.48234916e-01,3.45786453e-01,2.44846306e-03
4.68537074e+01,3.48466668e-01,3.46140318e-01,2.32635082e-03
4.69939880e+01,3.48684692e-01,3.46474497e-01,2.21019522e-03
4.71342685e+01,3.48889548e-01,3.46789833e-01,2.09971533e-03
4.72745491e+01,3.49081777e-01,3.47087133e-01,1.99464384e-03
4.74148297e+01,3.49261901e-01,3.47367177e-01,1.89472392e-03
4.75551102e+01,3.49430423e-01,3.47630711e-01,1.79971169e-03
4.76953908e+01,3.49587828e-01,3.47878455e-01,1.70937307e-03
4.78356713e+01,3.49734584e-01,3.48111099e-01,1.62348535e-03
4.79759519e+01,3.49871144e-01,3.48329309e-01,1.54183536e-03
4.81162325e+01,3.49997944e-01,3.48533724e-01,1.46422029e-03
4.82565130e+01,3.50115408e-01,3.48724963e-01,1.39044565e-03
4.83967936e+01,3.50223945e-01,3.48903618e-01,1.32032718e-03
4.85370741e+01,3.50323953e-01,3.49070265e-01,1.25368752e-03
4.86773547e+01,3.50415816e-01,3.49225456e-01,1.19035934e-03
4.88176353e+01,3.50499908e-01,3.49369727e-01,1.13018110e-03
4.89579158e+01,3.50576592e-01,3.49503591e-01,1.07300084e-03
4.90981964e+01,3.50646220e-01,3.49627549e-01,1.01867162e-03
4.92384770e+01,3.50709134e-01,3.49742079e-01,9.67055419e-04
4.93787575e+01,3.50765666e-01,3.49847647e-01,9.18018824e-04
4.95190381e+01,3.50816135e-01,3.49944699e-01,8.71436352e-04
4.96593186e+01,3.50860852e-01,3.50033665e-01,8.27187135e-04
4.97995992e+01,3.50900115e-01,3.50114958e-01,7.85157011e-04
4.99398798e+01,3.50934212e-01,3.50188975e-01,7.45236599e-04
5.00801603e+01,3.50963415e-01,3.50256093e-01,7.07322096e-04
5.02204409e+01,3.50987986e-01,3.50316672e-01,6.71314514e-04
5.03607214e+01,3.51008174e-01,3.50371054e-01,6.37119574e-04
5.05010020e+01,3.51024208e-01,3.50419561e-01,6.04647740e-04
5.06412826e+01,3.51036308e-01,3.50462495e-01,5.73813397e-04
5.07815631e+01,3.51044673e-01,3.50500137e-01,5.44535611e-04
5.09218437e+01,3.51049487e-01,3.50532751e-01,5.16736670e-04
5.10621242e+01,3.51050915e-01,3.50560571e-01,4.90343434e-04
5.12024048e+01,3.51049104e-01,3.50583818e-01,4.65285425e-04
5.13426854e+01,3.51044177e-01,3.50602681e-01,4.41496530e-04
5.14829659e+01,3.51036243e-01,3.50617330e-01,4.18912913e-04
5.16232465e+01,3.51025377e-01,3.50627902e-01,3.97474774e-04
5.17635271e+01,3.51011637e-01,3.50634512e-01,3.77124383e-04
5.19038076e+01,3.50995043e-01,3.50637236e-01,3.57807571e-04
5.20440882e+01,3.50976791e-01,3.50637318e-01,3.39472348e-04
5.21843687e+01,3.50959388e-01,3.50637318e-01,3.22069431e-04
5.23246493e+01,3.50942870e-01,3.50637318e-01,3.05552066e-04
5.24649299e+01,3.50927194e-01,3.50637318e-01,2.89875500e-04
5.26052104e+01,3.50912316e-01,3.50637318e-01,2.74997787e-04
5.27454910e+01,3.50898197e-01,3.50637318e-01,2.60878175e-04
5.28857715e+01,3.50884797e-01,3.50637318e-01,2.47478836e-04
