kDelta,eta_exact,eta_short_wavelength,eta_long_wavelength
4.93492986e+00,1.28255168e+00,1.28256642e+00,2.34123895e+00
4.95494990e+00,1.28515116e+00,1.28516535e+00,2.34835880e+00
4.97496994e+00,1.28774537e+00,1.28775903e+00,2.35547147e+00
4.99498998e+00,1.29033435e+00,1.29034750e+00,2.36257698e+00
5.01501002e+00,1.29291812e+00,1.29293078e+00,2.36967538e+00
5.03503006e+00,1.29549673e+00,1.29550892e+00,2.37676669e+00
5.05505010e+00,1.29807020e+00,1.29808193e+00,2.38385096e+00
5.07507014e+00,1.30063856e+00,1.30064986e+00,2.39092822e+00
5.09509018e+00,1.30320185e+00,1.30321272e+00,2.39799851e+00
5.11511022e+00,1.30576009e+00,1.30577055e+00,2.40506185e+00
5.13513026e+00,1.30831331e+00,1.30832339e+00,2.41211828e+00
5.15515030e+00,1.31086155e+00,1.31087125e+00,2.41916784e+00
5.17517034e+00,1.31340483e+00,1.31341417e+00,2.42621056e+00
5.19519038e+00,1.31594319e+00,1.31595218e+00,2.43324647e+00
5.21521042e+00,1.31847665e+00,1.31848530e+00,2.44027561e+00
5.23523046e+00,1.32100523e+00,1.32101356e+00,2.44729800e+00
5.25525050e+00,1.32352898e+00,1.32353699e+00,2.45431368e+00
5.27527054e+00,1.32604791e+00,1.32605562e+00,2.46132269e+00
5.29529058e+00,1.32856205e+00,1.32856948e+00,2.46832505e+00
5.31531062e+00,1.33107144e+00,1.33107859e+00,2.47532079e+00
5.33533066e+00,1.33357610e+00,1.33358298e+00,2.48230995e+00
5.35535070e+00,1.33607605e+00,1.33608267e+00,2.48929255e+00
5.37537074e+00,1.33857132e+00,1.33857770e+00,2.49626863e+00
5.39539078e+00,1.34106194e+00,1.34106808e+00,2.50323822e+00
5.41541082e+00,1.34354794e+00,1.34355385e+00,2.51020135e+00
5.43543086e+00,1.34602934e+00,1.34603502e+00,2.51715804e+00
5.45545090e+00,1.34850617e+00,1.34851164e+00,2.52410833e+00
5.47547094e+00,1.35097844e+00,1.35098371e+00,2.53105225e+00
5.49549098e+00,1.35344620e+00,1.35345127e+00,2.53798983e+00
5.51551102e+00,1.35590945e+00,1.35591433e+00,2.54492108e+00
5.53553106e+00,1.35836824e+00,1.35837293e+00,2.55184606e+00
5.55555110e+00,1.36082257e+00,1.36082709e+00,2.55876477e+00
5.57557114e+00,1.36327248e+00,1.36327683e+00,2.56567725e+00
5.59559118e+00,1.36571799e+00,1.36572218e+00,2.57258353e+00
5.61561122e+00,1.36815912e+00,1.36816315e+00,2.57948364e+00
5.63563126e+00,1.37059590e+00,1.37059978e+00,2.58637759e+00
5.65565130e+00,1.37302835e+00,1.37303208e+00,2.59326543e+00
5.67567134e+00,1.37545649e+00,1.37546009e+00,2.60014718e+00
5.69569138e+00,1.37788035e+00,1.37788381e+00,2.60702286e+00
5.71571142e+00,1.38029995e+00,1.38030328e+00,2.61389250e+00
5.73573146e+00,1.38271531e+00,1.38271851e+00,2.62075613e+00
5.75575150e+00,1.38512645e+00,1.38512954e+00,2.62761377e+00
5.77577154e+00,1.38753340e+00,1.38753637e+00,2.63446545e+00
5.79579158e+00,1.38993618e+00,1.38993904e+00,2.64131119e+00
5.81581162e+00,1.39233481e+00,1.39233756e+00,2.64815103e+00
5.83583166e+00,1.39472931e+00,1.39473195e+00,2.65498498e+00
5.85585170e+00,1.39711970e+00,1.39712225e+00,2.66181308e+00
5.87587174e+00,1.39950601e+00,1.39950845e+00,2.66863534e+00
5.89589178e+00,1.40188825e+00,1.40189060e+00,2.67545179e+00
5.91591182e+00,1.40426644e+00,1.40426871e+00,2.68226246e+00
5.93593186e+00,1.40664061e+00,1.40664280e+00,2.68906737e+00
5.95595190e+00,1.40901078e+00,1.40901288e+00,2.69586654e+00
5.97597194e+00,1.41137697e+00,1.41137899e+00,2.70266000e+00
5.99599198e+00,1.41373919e+00,1.41374113e+00,2.70944778e+00
6.01601202e+00,1.41609747e+00,1.41609934e+00,2.71622989e+00
6.03603206e+00,1.41845182e+00,1.41845363e+00,2.72300636e+00
6.05605210e+00,1.42080228e+00,1.42080401e+00,2.72977721e+00
6.07607214e+00,1.42314884e+00,1.42315051e+00,2.73654248e+00
6.09609218e+00,1.42549155e+00,1.42549315e+00,2.74330217e+00
6.11611222e+00,1.42783040e+00,1.42783195e+00,2.75005631e+00
6.13613226e+00,1.43016543e+00,1.43016692e+00,2.75680493e+00
6.15615230e+00,1.43249666e+00,1.43249809e+00,2.76354804e+00
6.17617234e+00,1.43482409e+00,1.43482546e+00,2.77028568e+00
6.19619238e+00,1.43714775e+00,1.43714907e+00,2.77701786e+00
6.21621242e+00,1.43946766e+00,1.43946893e+00,2.78374460e+00
6.23623246e+00,1.44178383e+00,1.44178506e+00,2.79046593e+00
6.25625251e+00,1.44409629e+00,1.44409747e+00,2.79718186e+00
6.27627255e+00,1.44640505e+00,1.44640618e+00,2.80389243e+00
6.29629259e+00,1.44871013e+00,1.44871122e+00,2.81059765e+00
6.31631263e+00,1.45101154e+00,1.45101259e+00,2.81729753e+00
6.33633267e+00,1.45330931e+00,1.45331032e+00,2.82399212e+00
6.35635271e+00,1.45560345e+00,1.45560442e+00,2.83068141e+00
6.37637275e+00,1.45789398e+00,1.45789491e+00,2.83736544e+00
6.39639279e+00,1.46018091e+00,1.46018181e+00,2.84404423e+00
6.41641283e+00,1.46246427e+00,1.46246514e+00,2.85071779e+00
6.43643287e+00,1.46474406e+00,1.46474490e+00,2.85738615e+00
6.45645291e+00,1.46702032e+00,1.46702112e+00,2.86404932e+00
6.47647295e+00,1.46929304e+00,1.46929382e+00,2.87070733e+00
6.49649299e+00,1.47156226e+00,1.47156300e+00,2.87736020e+00
6.51651303e+00,1.47382797e+00,1.47382869e+00,2.88400795e+00
6.53653307e+00,1.47609021e+00,1.47609090e+00,2.89065059e+00
6.55655311e+00,1.47834899e+00,1.47834965e+00,2.89728815e+00
6.57657315e+00,1.48060432e+00,1.48060496e+00,2.90392064e+00
6.59659319e+00,1.48285622e+00,1.48285684e+00,2.91054808e+00
6.61661323e+00,1.48510471e+00,1.48510530e+00,2.91717050e+00
6.63663327e+00,1.48734979e+00,1.48735036e+00,2.92378792e+00
6.65665331e+00,1.48959149e+00,1.48959204e+00,2.93040034e+00
6.67667335e+00,1.49182982e+00,1.49183035e+00,2.93700779e+00
6.69669339e+00,1.49406480e+00,1.49406530e+00,2.94361030e+00
6.71671343e+00,1.49629643e+00,1.49629692e+00,2.95020787e+00
6.73673347e+00,1.49852475e+00,1.49852522e+00,2.95680052e+00
6.75675351e+00,1.50074975e+00,1.50075020e+00,2.96338828e+00
6.77677355e+00,1.50297146e+00,1.50297189e+00,2.96997116e+00
6.79679359e+00,1.50518989e+00,1.50519031e+00,2.97654918e+00
6.81681363e+00,1.50740505e+00,1.50740546e+00,2.98312236e+00
6.83683367e+00,1.50961697e+00,1.50961735e+00,2.98969072e+00
6.85685371e+00,1.51182564e+00,1.51182602e+00,2.99625426e+00
6.87687375e+00,1.51403110e+00,1.51403146e+00,3.00281302e+00
6.89689379e+00,1.51623334e+00,1.51623369e+00,3.00936701e+00
6.91691383e+00,1.51843239e+00,1.51843273e+00,3.01591624e+00
6.93693387e+00,1.52062826e+00,1.52062858e+00,3.02246074e+00
6.95695391e+00,1.52282097e+00,1.52282128e+00,3.02900051e+00
6.97697395e+00,1.52501052e+00,1.52501081e+00,3.03553558e+00
6.99699399e+00,1.52719693e+00,1.52719721e+00,3.04206597e+00
7.01701403e+00,1.52938021e+00,1.52938049e+00,3.04859168e+00
7.03703407e+00,1.53156039e+00,1.53156065e+00,3.05511275e+00
7.05705411e+00,1.53373746e+00,1.53373771e+00,3.06162917e+00
7.07707415e+00,1.53591145e+00,1.53591169e+00,3.06814098e+00
7.09709419e+00,1.53808236e+00,1.53808259e+00,3.07464818e+00
7.11711423e+00,1.54025021e+00,1.54025044e+00,3.08115080e+00
7.13713427e+00,1.54241502e+00,1.54241523e+00,3.08764884e+00
7.15715431e+00,1.54457679e+00,1.54457700e+00,3.09414233e+00
7.17717435e+00,1.54673554e+00,1.54673574e+00,3.10063128e+00
7.19719439e+00,1.54889128e+00,1.54889147e+00,3.10711571e+00
7.21721443e+00,1.55104402e+00,1.55104421e+00,3.11359563e+00
7.23723447e+00,1.55319379e+00,1.55319396e+00,3.12007105e+00
7.25725451e+00,1.55534057e+00,1.55534075e+00,3.12654200e+00
7.27727455e+00,1.55748440e+00,1.55748457e+00,3.13300849e+00
7.29729459e+00,1.55962529e+00,1.55962545e+00,3.13947053e+00
7.31731463e+00,1.56176323e+00,1.56176339e+00,3.14592815e+00
7.33733467e+00,1.56389826e+00,1.56389841e+00,3.15238134e+00
7.35735471e+00,1.56603037e+00,1.56603051e+00,3.15883014e+00
7.37737475e+00,1.56815959e+00,1.56815972e+00,3.16527455e+00
7.39739479e+00,1.57028591e+00,1.57028605e+00,3.17171459e+00
7.41741483e+00,1.57240937e+00,1.57240949e+00,3.17815027e+00
7.43743487e+00,1.57452995e+00,1.57453007e+00,3.18458162e+00
7.45745491e+00,1.57664769e+00,1.57664781e+00,3.19100863e+00
7.47747495e+00,1.57876258e+00,1.57876270e+00,3.19743134e+00
7.49749499e+00,1.58087465e+00,1.58087476e+00,3.20384975e+00
7.51751503e+00,1.58298390e+00,1.58298400e+00,3.21026387e+00
7.53753507e+00,1.58509034e+00,1.58509044e+00,3.21667372e+00
7.55755511e+00,1.58719398e+00,1.58719408e+00,3.22307932e+00
7.57757515e+00,1.58929484e+00,1.58929493e+00,3.22948068e+00
7.59759519e+00,1.59139293e+00,1.59139302e+00,3.23587782e+00
7.61761523e+00,1.59348825e+00,1.59348834e+00,3.24227074e+00
7.63763527e+00,1.59558082e+00,1.59558090e+00,3.24865946e+00
7.65765531e+00,1.59767065e+00,1.59767073e+00,3.25504399e+00
7.67767535e+00,1.59975775e+00,1.59975783e+00,3.26142436e+00
7.69769539e+00,1.60184214e+00,1.60184221e+00,3.26780056e+00
