gamma_max,r_diss_over_l_zeta_0.05,r_diss_over_l_zeta_0.1,r_diss_over_l_zeta_0.3,r_diss_over_l_zeta_0.5
4.27006792e+03,8.75207040e+10,2.18801760e+10,2.43113067e+09,8.75207040e+08
4.47199874e+03,9.59941090e+10,2.39985272e+10,2.66650303e+09,9.59941090e+08
4.68347883e+03,1.05287875e+11,2.63219688e+10,2.92466320e+09,1.05287875e+09
4.90495979e+03,1.15481427e+11,2.88703567e+10,3.20781741e+09,1.15481427e+09
5.13691455e+03,1.26661877e+11,3.16654693e+10,3.51838547e+09,1.26661877e+09
5.37983840e+03,1.38924774e+11,3.47311935e+10,3.85902150e+09,1.38924774e+09
5.63425009e+03,1.52374916e+11,3.80937289e+10,4.23263655e+09,1.52374916e+09
5.90069287e+03,1.67127246e+11,4.17818116e+10,4.64242351e+09,1.67127246e+09
6.17973568e+03,1.83307839e+11,4.58269597e+10,5.09188441e+09,1.83307839e+09
6.47197438e+03,2.01054971e+11,5.02637428e+10,5.58486031e+09,2.01054971e+09
6.77803300e+03,2.20520310e+11,5.51300776e+10,6.12556418e+09,2.20520310e+09
7.09856508e+03,2.41870206e+11,6.04675515e+10,6.71861683e+09,2.41870206e+09
7.43425508e+03,2.65287113e+11,6.63217783e+10,7.36908648e+09,2.65287113e+09
7.78581980e+03,2.90971152e+11,7.27427879e+10,8.08253199e+09,2.90971152e+09
8.15400996e+03,3.19141816e+11,7.97854541e+10,8.86505045e+09,3.19141816e+09
8.53961177e+03,3.50039852e+11,8.75099630e+10,9.72332922e+09,3.50039852e+09
8.94344863e+03,3.83929312e+11,9.59823280e+10,1.06647031e+10,3.83929312e+09
9.36638287e+03,4.21099814e+11,1.05274954e+11,1.16972171e+10,4.21099814e+09
9.80931760e+03,4.61869016e+11,1.15467254e+11,1.28296949e+10,4.61869016e+09
1.02731986e+04,5.06585329e+11,1.26646332e+11,1.40718147e+10,5.06585329e+09
1.07590165e+04,5.55630897e+11,1.38907724e+11,1.54341916e+10,5.55630897e+09
1.12678087e+04,6.09424861e+11,1.52356215e+11,1.69284684e+10,6.09424861e+09
1.18006615e+04,6.68426942e+11,1.67106735e+11,1.85674151e+10,6.68426942e+09
1.23587129e+04,7.33141368e+11,1.83285342e+11,2.03650380e+10,7.33141368e+09
1.29431545e+04,8.04121187e+11,2.01030297e+11,2.23366996e+10,8.04121187e+09
1.35552341e+04,8.81972988e+11,2.20493247e+11,2.44992497e+10,8.81972988e+09
1.41962590e+04,9.67362089e+11,2.41840522e+11,2.68711691e+10,9.67362089e+09
1.48675978e+04,1.06101822e+12,2.65254556e+11,2.94727284e+10,1.06101822e+10
1.55706840e+04,1.16374177e+12,2.90935442e+11,3.23261602e+10,1.16374177e+10
1.63070192e+04,1.27641060e+12,3.19102649e+11,3.54558499e+10,1.27641060e+10
1.70781755e+04,1.39998757e+12,3.49996893e+11,3.88885437e+10,1.39998757e+10
1.78857996e+04,1.53552878e+12,3.83882194e+11,4.26535771e+10,1.53552878e+10
1.87316162e+04,1.68419254e+12,4.21048135e+11,4.67831261e+10,1.68419254e+10
1.96174313e+04,1.84724933e+12,4.61812333e+11,5.13124815e+10,1.84724933e+10
2.05451365e+04,2.02609263e+12,5.06523158e+11,5.62803509e+10,2.02609263e+10
2.15167126e+04,2.22225083e+12,5.55562707e+11,6.17291897e+10,2.22225083e+10
2.25342345e+04,2.43740028e+12,6.09350069e+11,6.77055632e+10,2.43740028e+10
2.35998748e+04,2.67337963e+12,6.68344909e+11,7.42605454e+10,2.67337963e+10
2.47159091e+04,2.93220557e+12,7.33051393e+11,8.14501548e+10,2.93220557e+10
2.58847204e+04,3.21609000e+12,8.04022500e+11,8.93358334e+10,3.21609000e+10
2.71088046e+04,3.52745899e+12,8.81864747e+11,9.79849719e+10,3.52745899e+10
2.83907756e+04,3.86897348e+12,9.67243369e+11,1.07471485e+11,3.86897348e+10
2.97333708e+04,4.24355203e+12,1.06088801e+12,1.17876445e+11,4.24355203e+10
3.11394571e+04,4.65439579e+12,1.16359895e+12,1.29288772e+11,4.65439579e+10
3.26120370e+04,5.10501580e+12,1.27625395e+12,1.41805994e+11,5.10501580e+10
3.41542550e+04,5.59926303e+12,1.39981576e+12,1.55535084e+11,5.59926303e+10
3.57694041e+04,6.14136131e+12,1.53534033e+12,1.70593370e+11,6.14136131e+10
3.74609335e+04,6.73594338e+12,1.68398585e+12,1.87109538e+11,6.73594338e+10
3.92324550e+04,7.38809051e+12,1.84702263e+12,2.05224736e+11,7.38809051e+10
4.10877514e+04,8.10337592e+12,2.02584398e+12,2.25093776e+11,8.10337592e+10
4.30307845e+04,8.88791241e+12,2.22197810e+12,2.46886456e+11,8.88791241e+10
4.50657034e+04,9.74840458e+12,2.43710115e+12,2.70789016e+11,9.74840458e+10
4.71968532e+04,1.06922062e+13,2.67305154e+12,2.97005727e+11,1.06922062e+11
4.94287848e+04,1.17273829e+13,2.93184571e+12,3.25760635e+11,1.17273829e+11
5.17662640e+04,1.28627812e+13,3.21569530e+12,3.57299478e+11,1.28627812e+11
5.42142822e+04,1.41081043e+13,3.52702608e+12,3.91891786e+11,1.41081043e+11
5.67780669e+04,1.54739946e+13,3.86849865e+12,4.29833184e+11,1.54739946e+11
5.94630925e+04,1.69721250e+13,4.24303124e+12,4.71447916e+11,1.69721250e+11
6.22750925e+04,1.86152983e+13,4.65382457e+12,5.17091619e+11,1.86152983e+11
