# Figure 5: Fourth-order magnetization cumulant U_4 vs K
# Columns: K,U4_L8,U4_L12,U4_L16,U4_L24,U4_L32
K,U4_L8,U4_L12,U4_L16,U4_L24,U4_L32
0.2220552764,0.48888944,0.49860202,0.49898688,0.52263797,0.54633328
0.2220628141,0.48902580,0.49886464,0.49938013,0.52333261,0.54731120
0.2220703518,0.48916212,0.49912705,0.49977292,0.52402517,0.54828322
0.2220778894,0.48929840,0.49938924,0.50016526,0.52471563,0.54924933
0.2220854271,0.48943463,0.49965121,0.50055713,0.52540398,0.55020952
0.2220929648,0.48957082,0.49991296,0.50094854,0.52609022,0.55116380
0.2221005025,0.48970697,0.50017449,0.50133949,0.52677434,0.55211215
0.2221080402,0.48984307,0.50043581,0.50172997,0.52745633,0.55305457
0.2221155779,0.48997914,0.50069690,0.50211998,0.52813618,0.55399106
0.2221231156,0.49011515,0.50095778,0.50250953,0.52881388,0.55492161
0.2221306533,0.49025113,0.50121843,0.50289861,0.52948943,0.55584623
0.2221381910,0.49038706,0.50147887,0.50328721,0.53016282,0.55676491
0.2221457286,0.49052295,0.50173908,0.50367534,0.53083404,0.55767765
0.2221532663,0.49065879,0.50199908,0.50406299,0.53150307,0.55858446
0.2221608040,0.49079459,0.50225885,0.50445017,0.53216993,0.55948532
0.2221683417,0.49093035,0.50251840,0.50483686,0.53283459,0.56038025
0.2221758794,0.49106606,0.50277772,0.50522308,0.53349705,0.56126924
0.2221834171,0.49120173,0.50303682,0.50560881,0.53415730,0.56215231
0.2221909548,0.49133736,0.50329570,0.50599406,0.53481533,0.56302944
0.2221984925,0.49147294,0.50355436,0.50637882,0.53547115,0.56390064
0.2222060302,0.49160847,0.50381279,0.50676310,0.53612474,0.56476593
0.2222135678,0.49174397,0.50407100,0.50714689,0.53677609,0.56562529
0.2222211055,0.49187941,0.50432898,0.50753018,0.53742520,0.56647875
0.2222286432,0.49201482,0.50458674,0.50791298,0.53807206,0.56732629
0.2222361809,0.49215018,0.50484427,0.50829529,0.53871667,0.56816794
0.2222437186,0.49228549,0.50510157,0.50867711,0.53935902,0.56900370
0.2222512563,0.49242076,0.50535865,0.50905842,0.53999911,0.56983356
0.2222587940,0.49255599,0.50561550,0.50943924,0.54063692,0.57065756
0.2222663317,0.49269117,0.50587212,0.50981955,0.54127245,0.57147568
0.2222738693,0.49282631,0.50612852,0.51019937,0.54190571,0.57228794
0.2222814070,0.49296140,0.50638468,0.51057868,0.54253667,0.57309435
0.2222889447,0.49309645,0.50664062,0.51095748,0.54316534,0.57389493
0.2222964824,0.49323145,0.50689633,0.51133578,0.54379171,0.57468967
0.2223040201,0.49336640,0.50715181,0.51171357,0.54441578,0.57547859
0.2223115578,0.49350132,0.50740706,0.51209085,0.54503754,0.57626171
0.2223190955,0.49363618,0.50766208,0.51246762,0.54565699,0.57703903
0.2223266332,0.49377100,0.50791688,0.51284388,0.54627412,0.57781057
0.2223341709,0.49390578,0.50817143,0.51321962,0.54688893,0.57857634
0.2223417085,0.49404051,0.50842576,0.51359484,0.54750142,0.57933635
0.2223492462,0.49417519,0.50867986,0.51396955,0.54811157,0.58009062
0.2223567839,0.49430983,0.50893372,0.51434374,0.54871939,0.58083916
0.2223643216,0.49444442,0.50918736,0.51471741,0.54932487,0.58158199
